@relation CBSB4SE_SUM-weka.filters.unsupervised.attribute.Remove-R1-10

@attribute INT-INT numeric
@attribute INT-FLOAT numeric
@attribute FLOAT-FLOAT numeric
@attribute BOOL-BOOL numeric
@attribute REF-REF numeric
@attribute REF-NULL numeric
@attribute VARVAR numeric
@attribute VAREXP numeric
@attribute VARMETHOD numeric
@attribute VARCONST numeric
@attribute VARARRAY numeric
@attribute EXPEXP numeric
@attribute EXPMETHOD numeric
@attribute EXPCONST numeric
@attribute EXPARRAY numeric
@attribute METHODMETHOD numeric
@attribute METHODCONST numeric
@attribute METHODARRAY numeric
@attribute CONSTCONST numeric
@attribute CONSTARRAY numeric
@attribute ARRAYARRAY numeric
@attribute NLp numeric
@attribute NNLp numeric
@attribute Nodes numeric
@attribute Edges numeric
@attribute CompCicl numeric
@attribute NPths numeric
@attribute PS numeric
@attribute NCtr numeric
@attribute NEl numeric
@attribute NCtt numeric
@attribute NVar numeric
@attribute NEx numeric
@attribute NMC numeric
@attribute NIC numeric
@attribute NIntC numeric
@attribute NEC numeric
@attribute NInt numeric
@attribute NFlt numeric
@attribute NNull numeric
@attribute NArr numeric
@attribute NStr numeric
@attribute NObj numeric
@attribute NLExp numeric
@attribute UPC numeric
@attribute Args numeric
@attribute Lob numeric
@attribute CLASS {RANDOM,GA}

@data
0,0,0,1.333333,0,0,0,0,0,0.666667,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,7,11,6,6,4.333334,2,4.666666,1.333333,1.333333,0.666667,1.333333,0,0,1.333333,2.666667,0,0,0.666667,0,1.333333,0,0,1,37,GA
0,0,0,0,0,0,0,0,0,4.5,0,0,1.142857,0,0,0,3.988095,0,0.571429,0,0,1,0,29,33,18,18,18.214286,10.202381,34.523809,14.630953,11.488096,0,8.404762,0,0,8.404762,12.404762,0,5.5,13.202381,0,14.619048,0,0,16,294,GA
0,0,0,1,0,1.75,0,0,1.166667,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,11,11,11.166667,5.916667,13,4.75,7.083333,0,1.166667,0,0,1.166667,8.333333,0,1.75,0,0,2.916667,0,1,3,122,GA
0,0,0,0,0,0.366667,0,0,0.933333,0.533333,0,0,0,0,0,0,0.966667,0,0,0.366667,0,1,0,17,44,30,30,7.466667,3.733333,21.4,8.1,4.833334,0.933333,7.533333,0,7.533333,0,8.6,0,1.333333,3.4,1.3,8.833334,0,0,0,133,GA
0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,6,6,4,4,3.25,2.25,9.75,3.5,2.75,0,3.5,0,1,2.5,3,0,0.75,1.25,0,4.75,0,0,0,49,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,2,2,3,1,4,2,0,0,2,1,0,1,2,0,0,1,0,1,0,0,0,14,GA
0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,4,4,8,3,13,4,6,0,3,0,0,3,7,0,0,0,3,6,0,0,0,56,GA
0,0,0,0,0,0,0,0.076923,0,8.076923,0,0,0,0,0,0,0.461538,0,0,0,0,1,0,29,39,15,15,16,9.692307,19.923077,8.692307,9.692307,1.076923,0.461538,0,0.461538,0,2.230769,0,7.538462,7.538462,0,8,0,0,2,189,GA
0.273832,74725,0.057604,0.999652,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,0,2.833333,0,2.166667,0,0,0,0,33,39,22,22,18.666667,9.833333,18.833333,10.333333,1.333333,3.833333,3.333333,0,1.333333,2,5.666667,0,5.666667,1.833333,0,1.833333,0,1,6,113,GA
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,11,15,6,6,6.833334,5,15,5,5,0,5,0,0,5,10,0,0,0,0,5,0,0,0,66,GA
0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,7,6,4,4,3.25,2.25,8.25,3.25,0,0,5,2.25,0,1.75,3,0,0.75,0,0,3.5,0,0,0,29,RANDOM
0,0,0,3.48951,0,0,0,0,0,0,0,0,0.69697,0,0,1.090909,12.030303,0,0,0,0,5,3,54,73,31,31,24.325174,13.818182,53.822844,18.277389,15.909091,0,19.636364,0,3.181818,14.146853,23.752913,0,3.608392,1.363636,0,23.79021,0,1,7,347,RANDOM
0,0,0,8.847458,0,0,0,0.177966,0,0.559322,0,0,0,0,0,0,17.38983,0,0.737288,0,0,9,0,173,288,118,118,25.771187,19.033897,94.79661,46.11017,18.067797,0.169492,30.449152,0,0.516949,29.932203,22.449154,0,7.81356,26.898306,4.949153,37.466103,0,1,0,1065,RANDOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,6,2,2,0,2,0,0,2,4,0,0,2,0,3,0,0,0,38,GA
0.402116,75535,-0.050265,1.283259,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,RANDOM
0,0,0,64.583333,0,2.15,0,0,0,2.15,0,0,3.2,0,0,2,72.583333,0,0,0,0,36,8,230,255,113,113,164.85,79.933333,395.899999,77.933333,112.95,0,205.016665,8.8,28.333334,167.883333,160.766665,0,3.15,3.75,0,231.983333,0,8,58,1770,RANDOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,25,GA
0,0,0,1.875,0,0,0,0,0,1.366667,0,0,0,0,0,0,4.366667,0,0.133333,0,0,0,0,72,120,74,71,38.025,14.033333,31.125,8.625,4.241667,8.166667,10.091667,1,4.583333,4.508333,5,0,4.125,4.575,0,11.833334,0,1,3,562,RANDOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.181818,0,0,0,0,0,0,8,17,11,11,5,1.909091,5.818182,2.363636,1.181818,0.727273,1.545454,0,0,1.545454,0.727273,0,0.818182,1.181818,0,2.363636,0,0,0,32,GA
0,0,1,0,1,0.8,1,0,0,1.8,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,12,12,7,7,6.8,3.8,9.4,2.2,5.6,0,1.6,0.6,0,1,0.8,2.8,0.8,0,0,5,0,0,1,45,GA
0,0,0,0.875,0,0,0,0,0,0,0,0,0.625,0,0,0,4.5,0,0,0,0,2,1,13,19,8,8,8.375,5.125,20.625,6.875,4.25,0,9.5,0,0,9.5,11,0,0.5,0,0,9.125,0,0,0,57,GA
0.010786,108917,-0.001519,1.398368,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,RANDOM
0.593946,72241,0.02727,1.031478,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,1.8,0,0,1,2.9,0,6.6,0,0,0,0,0,0,0,0,0,0,0,6,0,30,32,15,15,25.6,10.5,58.700001,12.4,28.9,0,17.4,0,0,17.4,32.6,0,0,0,8.7,26.1,0,0,4,223,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,9,1.5,1.5,0,6,0,0,6,0,0,1.5,1.5,0,7.5,0,1,0,51,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,GA
0,0,0,0,0,0,0,0,1.333333,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,12,6,6,7.333333,3.333333,6.666667,2,1.333333,0,3.333333,3.333333,0,0,0,0,2,0,0,4.666667,0,0,2,42,GA
0.048476,80005,0.221512,0.930429,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,GA
0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,7,10,5,5,4.2,2.8,11.2,5.6,2.8,0,2.8,0,0,2.8,5.6,0,0,5.6,0,2.8,0,1,0,30,GA
0,0,0,2,1,1.333333,1,0,0,2.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,15,14,8,8,6.666666,4.333333,10.666667,4.333333,5.333334,0,1,0,0,0,4,0,1.333333,0,0,4.333334,0,0,0,53,GA
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2.5,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,44,GA
0.295714,76293,-0.147857,1.003041,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,RANDOM
0,0,0,1.8,0,1,0,0,0,1,0,0,0.8,0,0,0,4.8,0,0,0,0,1,0,20,22,11,11,14.7,6.6,25.8,11,2,0,12.8,4.6,5.6,0.8,12.6,0,1.6,0,0,9.8,0,0,1,80,GA
0,0,0,0.666667,0,1,0,0,2,1,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,15,12,9,9,8,4.333333,14.666666,6.333333,5,0.666667,2.666667,0,0.666667,2,10,0,1,0,0,3,0,0,3,97,GA
0,0,0,1.5,0,0,0,0.25,0,2,0,0,0,0,0,0,3.5,0,0,1,0,2,0,28,35,19,17,17.125,7.875,26.875,9.25,8,1.125,8.5,1,2,5.5,7.5,0,4,5.25,0,13.75,0,1,3,211,GA
