@relation 10PCK-weka.filters.unsupervised.attribute.Remove-R1-8

@attribute CBO numeric
@attribute WNC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NOM numeric
@attribute NOPM numeric
@attribute NOSM numeric
@attribute NOF numeric
@attribute NOPF numeric
@attribute NOSF numeric
@attribute NOSI numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,12,2,0,19,0,4,2,0,3,0,1,12,108,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
6,12,1,1,1,36,12,12,0,6,1,0,0,134,GA
4,1,1,0,1,0,1,1,0,2,2,0,0,13,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
15,30,1,1,1,351,30,30,0,15,1,0,0,296,RANDOM
0,5,1,0,10,1,2,2,2,0,0,0,1,73,RANDOM
10,20,1,1,1,136,20,20,0,10,1,0,0,206,RANDOM
11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
4,5,1,0,3,1,2,2,2,0,0,0,1,38,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
2,11,1,1,8,13,7,7,0,2,0,0,2,94,GA
7,13,1,0,6,39,11,10,5,17,14,16,2,84,GA
20,224,15,0,136,1429,62,53,1,47,0,0,21,1424,GA
0,9,1,0,0,28,9,9,0,5,0,0,0,170,GA
9,19,1,0,29,33,11,9,0,6,2,0,3,244,RANDOM
2,4,1,0,1,2,4,4,0,2,0,0,0,97,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
27,51,7,0,113,166,23,8,0,21,0,3,10,589,RANDOM
4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
13,21,1,0,41,151,18,7,3,1,0,1,6,182,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
6,56,2,0,22,178,21,18,0,3,1,1,3,343,GA
9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,21,5,0,49,67,9,3,0,21,0,0,3,232,GA
1,4,2,0,9,3,3,3,0,0,0,0,0,42,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
8,20,1,0,12,11,10,10,3,4,0,1,3,103,RANDOM
7,12,1,1,1,0,6,6,3,3,0,1,0,70,RANDOM
1,39,3,0,29,42,16,13,0,13,0,0,0,191,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
4,6,1,0,9,6,4,3,0,2,0,0,3,34,RANDOM
3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
9,141,9,0,37,1557,63,47,1,23,2,4,4,1069,RANDOM
2,20,5,0,20,6,4,2,0,4,0,3,11,150,RANDOM
5,41,1,2,9,288,28,24,0,14,4,5,2,366,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
2,2,2,0,1,1,2,2,0,1,0,0,0,16,GA
2,6,1,0,0,9,6,6,0,3,0,0,0,40,RANDOM
7,36,8,0,28,143,22,20,0,6,0,0,0,228,GA
4,8,1,2,6,15,7,4,3,2,0,2,1,75,GA
9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
9,26,5,0,28,28,8,6,0,1,0,0,10,178,GA
18,259,1,0,132,220,60,52,2,18,0,2,82,1366,RANDOM
25,50,1,1,1,1081,50,50,0,25,1,0,0,476,RANDOM
1,3,1,0,2,0,1,1,1,0,0,0,4,56,GA
13,22,7,0,43,7,11,9,0,10,0,0,0,213,RANDOM
7,10,2,0,10,10,5,1,0,0,0,0,0,139,GA
7,10,1,0,4,0,10,10,0,3,0,0,0,27,GA
10,27,4,0,27,0,14,14,0,12,0,1,1,208,GA
1,2,2,1,1,1,2,2,0,0,0,0,0,40,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
6,61,1,0,46,38,17,10,4,8,0,3,6,602,GA
4,7,1,0,6,0,5,5,0,2,0,0,2,84,GA
6,14,1,0,17,0,2,2,0,1,0,0,1,95,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
11,16,1,0,17,83,15,13,5,6,0,0,10,132,GA
0,18,1,1,10,114,17,17,0,11,5,5,1,96,GA
3,10,1,0,9,1,7,6,0,2,0,0,1,121,GA
5,17,1,0,16,10,5,5,5,5,5,5,8,112,GA
1,26,1,0,4,0,9,0,0,9,0,0,2,237,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
28,56,1,1,1,1378,56,56,0,28,1,0,0,530,RANDOM
0,3,1,0,3,0,1,1,0,0,0,0,1,29,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
11,295,2,0,148,640,45,28,6,19,0,4,61,1136,RANDOM
0,1,4,0,0,0,1,0,0,0,0,0,0,60,GA
2,13,7,0,32,31,6,5,2,7,0,1,4,207,GA
8,16,1,1,1,78,16,16,0,8,1,0,0,170,RANDOM
6,7,1,0,8,1,2,2,0,0,0,0,0,40,GA
0,5,1,0,5,1,2,1,1,4,0,4,1,57,GA
1,1,6,0,4,0,1,1,0,2,0,1,1,43,RANDOM
6,35,1,0,14,26,8,6,0,1,0,1,10,214,RANDOM
5,11,2,0,6,8,5,5,0,1,0,0,0,58,GA
1,8,2,3,8,1,3,2,0,1,0,0,5,61,GA
3,3,2,0,3,3,3,1,0,0,0,0,0,52,GA
2,0,1,0,0,0,0,0,0,5,0,2,0,69,GA
0,13,3,0,7,0,9,9,0,1,0,0,0,106,RANDOM
21,42,1,1,1,741,42,42,0,21,1,0,0,404,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
4,101,1,0,63,771,46,40,5,23,0,5,18,407,GA
2,11,1,0,16,7,7,6,0,14,2,8,2,153,GA
5,23,1,0,12,10,16,16,1,1,0,0,0,205,GA
8,13,5,0,8,33,10,10,0,2,0,0,0,108,GA
14,21,1,0,39,3,3,2,0,0,0,0,3,245,GA
1,1,5,0,0,0,1,1,0,1,0,1,0,19,RANDOM
7,13,1,0,15,0,1,1,1,0,0,0,2,134,RANDOM
14,13,2,0,26,0,3,2,0,5,0,1,0,90,GA
4,5,1,0,0,10,5,5,0,0,0,0,0,59,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
2,4,1,0,1,0,4,4,0,3,0,0,1,41,GA
3,2,2,0,1,0,1,1,0,1,1,0,0,15,GA
6,3,4,11,9,1,2,1,0,2,0,2,2,37,GA
0,3,1,0,10,3,3,3,3,1,0,1,6,36,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
2,24,1,0,28,45,10,4,9,0,0,0,14,167,RANDOM
11,40,1,0,35,3,3,3,0,0,0,0,0,162,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
0,6,1,0,0,9,6,6,0,3,0,0,0,60,GA
14,28,1,1,1,300,28,28,0,14,1,0,0,278,RANDOM
6,12,1,1,1,36,12,12,0,6,1,0,0,134,GA
6,56,6,0,54,288,22,14,1,32,4,6,4,412,GA
3,6,1,1,1,3,6,6,0,3,1,0,0,80,RANDOM
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
18,175,2,0,150,1611,58,39,0,3,0,0,101,2284,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
7,47,6,0,73,321,23,17,1,46,2,4,15,572,GA
6,19,2,0,38,24,9,4,1,10,0,7,7,129,RANDOM
5,6,3,0,2,1,2,1,0,0,0,0,0,71,GA
2,9,2,0,9,12,8,5,1,7,0,2,0,163,RANDOM
5,15,1,0,6,50,12,10,2,11,0,1,1,128,GA
29,110,1,0,81,1148,52,38,0,10,0,0,0,980,RANDOM
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
1,9,2,0,10,2,5,5,0,3,0,1,3,73,GA
3,12,4,0,12,6,4,2,0,0,0,0,6,65,GA
2,7,5,1,0,15,7,7,0,1,0,0,0,98,GA
8,34,1,0,0,561,34,34,0,0,0,0,0,202,GA
2,2,6,0,12,0,1,1,0,1,0,0,1,59,RANDOM
0,19,1,0,4,32,13,13,0,7,0,0,0,141,GA
12,21,1,0,17,135,18,13,0,7,0,0,4,82,RANDOM
7,26,1,0,14,95,19,19,3,9,0,1,0,249,GA
4,18,2,0,16,13,15,14,0,3,0,0,2,173,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
9,22,1,0,16,19,11,11,3,5,0,1,3,153,GA
4,21,1,0,38,4,5,2,0,3,0,1,4,233,RANDOM
5,10,1,1,1,21,10,10,0,5,1,0,0,116,RANDOM
18,58,1,1,62,96,17,8,0,12,0,0,15,579,RANDOM
2,2,1,0,4,0,1,1,0,3,0,1,0,31,GA
8,3,1,0,7,1,2,2,0,0,0,0,0,33,GA
7,27,1,0,13,70,17,17,3,8,0,1,0,237,GA
0,2,1,0,0,0,2,0,0,2,0,0,0,50,GA
6,25,1,0,11,0,13,12,0,2,0,0,0,82,RANDOM
4,7,2,0,3,0,5,5,0,1,0,0,0,89,GA
3,3,2,0,0,3,3,2,0,0,0,0,0,23,GA
6,18,1,0,18,0,2,2,0,1,0,0,1,109,RANDOM
2,14,1,0,5,12,9,0,0,7,0,0,0,98,GA
5,10,1,1,1,21,10,10,0,5,1,0,0,116,GA
7,14,1,1,1,55,14,14,0,7,1,0,0,152,GA
2,5,1,1,8,3,3,2,1,1,0,1,0,53,GA
2,2,3,0,1,1,2,0,0,0,0,0,0,12,GA
1,24,1,0,12,90,16,16,0,6,0,0,0,195,GA
2,11,1,0,5,23,10,0,0,5,0,0,1,68,GA
1,2,3,0,0,1,2,1,0,0,0,0,0,12,GA
1,3,4,0,3,1,2,1,0,1,0,0,0,20,GA
1,15,1,0,21,13,6,3,0,1,0,0,0,154,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
8,53,1,0,25,500,37,37,3,18,0,1,0,536,GA
2,4,1,1,1,0,4,4,0,2,1,0,0,62,GA
1,7,2,0,3,3,6,6,0,1,0,0,2,76,GA
4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
8,34,8,0,32,22,12,11,0,13,0,0,1,262,GA
1,7,1,0,5,0,7,7,0,4,0,0,2,136,GA
11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
2,12,1,0,8,55,11,11,0,0,0,0,8,102,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
0,2,1,0,0,0,2,2,0,1,0,0,0,38,GA
3,14,1,0,15,17,10,6,0,6,0,2,2,98,GA
7,7,2,0,5,10,5,1,0,0,0,0,0,119,GA
5,6,1,0,6,1,2,2,0,1,0,1,0,29,GA
22,17,1,0,36,13,6,3,2,3,0,0,6,261,GA
4,9,3,0,8,4,4,4,0,1,0,0,3,90,RANDOM
9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
2,2,2,0,0,0,1,1,0,0,0,0,0,75,GA
1,6,2,1,4,0,3,3,0,1,0,0,0,50,GA
14,21,1,3,15,34,10,7,0,5,0,0,5,143,GA
0,3,5,0,7,3,3,3,0,0,0,0,0,24,RANDOM
11,10,2,0,15,0,1,1,0,0,0,0,1,58,RANDOM
3,3,1,4,1,1,2,2,0,0,0,0,0,14,GA
3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
14,22,7,0,33,52,12,10,0,7,0,1,1,164,GA
1,1,2,0,0,0,1,1,0,1,0,1,0,26,GA
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
10,20,1,1,1,136,20,20,0,10,1,0,0,206,RANDOM
4,6,1,0,8,0,1,1,0,1,0,0,0,56,RANDOM
0,5,2,0,5,1,2,2,0,0,0,0,0,45,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
5,11,1,0,5,20,7,7,0,3,0,0,0,44,RANDOM
14,28,1,1,1,300,28,28,0,14,1,0,0,278,RANDOM
12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
3,10,1,0,9,0,6,6,0,2,0,0,1,85,GA
7,11,1,0,15,1,7,5,0,4,0,2,2,130,GA
1,1,5,0,0,0,1,1,0,1,0,1,0,21,RANDOM
1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
