TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
org.sourceforge.ifx.framework.complextype.BankSvcChkSumModRq_Type,class,1,18752,0.989583333333333,25316,0.010416666666667,-6564,8,16,1,1,1,78,16,16,0,8,1,0,0,170,RANDOM
geo.google.mapping.AddressToUsAddressFunctor,class,0.757236842105263,64834,0.704495614035088,70065,0.052741228070175,-5231,16,16,1,0,40,1,2,2,1,1,0,1,0,85,RANDOM
org.sourceforge.ifx.framework.element.CCAcctStmtInqRs,class,1,4637,0.916666666666667,2664,0.083333333333333,1973,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.PresSvcRs_Type,class,1,64415,0.93010752688172,69291,0.06989247311828,-4876,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
org.sourceforge.ifx.framework.complextype.RecXferInqRq_Type,class,1,25626,0.931623931623932,70699,0.068376068376068,-45073,15,30,1,1,1,351,30,30,0,15,1,0,0,296,RANDOM
umd.cs.shop.JSSubstitution,class,0.836401874435411,98855,0.805136146599561,88025,0.03126572783585,10830,3,21,4,0,15,24,9,8,0,1,0,0,3,101,GA
de.paragon.explorer.gui.ObjectViewDialog,class,0.16562850126006,74279,0.178139101633993,84594,-0.012510600373933,-10315,2,69,6,0,67,431,30,17,1,24,0,7,7,719,RANDOM
macaw.system.UserInterfaceFactory,class,0.915836096835428,74018,0.901550382549714,73758,0.014285714285714,260,0,37,1,0,22,555,35,35,0,7,0,0,2,288,GA
org.javathena.login.parse.FromClient,class,0.624607964244967,125952,0.624607964244967,93343,0,32609,3,25,1,0,19,1,2,2,0,11,11,11,20,161,GA
org.sourceforge.ifx.framework.complextype.ChkIssueAudRq_Type,class,1,20680,0.990740740740741,28493,0.009259259259259,-7813,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
jaw.metamodelo.Entidade,class,0.96875,83204,0.940972222222222,14735,0.027777777777778,68469,2,17,1,0,7,38,16,16,0,4,0,0,4,63,GA
org.jcvi.jillion.assembly.consed.ace.AceContigVisitorAdapter,class,0.96875,71474,0.9125,19711,0.05625,51763,5,10,1,0,7,0,9,9,0,1,0,0,0,85,GA
macaw.businessLayer.ConstantConverter,class,0.940384615384616,76531,0.90467032967033,76567,0.035714285714286,-36,7,15,1,0,19,28,8,7,7,0,0,0,0,116,RANDOM
com.mentorgen.tools.profile.instrument.clfilter.CustomMultiClassLoaderFilter,class,0.94375,69682,0.935714285714286,8104,0.008035714285714,61578,1,4,1,0,3,1,2,2,0,0,0,0,0,21,GA
org.sourceforge.ifx.framework.element.AcctInqRs,class,1,4222,0.916666666666667,2598,0.083333333333333,1624,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
net.sourceforge.squirrel_sql.client.gui.db.SQLAliasColorProperties,class,1,10346,1,11398,0,-1052,0,12,1,0,0,54,12,12,0,7,0,1,0,116,RANDOM
oasis.names.tc.ciq.xsdschema.xal._2.PostalCode,class,0.942857142857143,88098,0.909183673469388,67833,0.033673469387755,20265,6,50,1,0,0,484,44,44,0,28,0,0,0,950,GA
org.quickserver.swing.JFrameUtilities,class,0.601068376068376,86832,0.496901709401709,87485,0.104166666666667,-653,0,13,1,0,22,28,8,8,8,0,0,0,7,85,RANDOM
org.heal.servlet.search.EditAdvSearchAction,class,0.8125,84263,0.9375,12867,-0.125,71396,4,3,1,0,2,3,3,3,0,0,0,0,0,22,GA
org.sourceforge.ifx.framework.complextype.PmtRevRs_Type,class,1,29173,0.948717948717949,75187,0.051282051282051,-46014,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
org.sourceforge.ifx.framework.complextype.PmtEnclRec_Type,class,1,5359,0.958333333333333,7858,0.041666666666667,-2499,4,8,1,1,1,10,8,8,0,4,1,0,0,98,RANDOM
org.jcvi.jillion.internal.trace.chromat.scf.SCFChromatogramImpl,class,0.168154761904762,69045,0.336309523809524,65552,-0.168154761904762,3493,5,11,2,0,12,10,8,8,0,4,0,0,8,114,GA
com.tivo.jipviewer.ByPackageViewer,class,0.841394421312958,91317,0.782004018477386,92728,0.059390402835572,-1411,3,25,4,0,32,50,13,1,5,6,0,0,12,157,RANDOM
org.dom4j.swing.XMLTableColumnDefinition,class,0.953192640692641,83578,0.91124299719888,106650,0.041949643493761,-23072,2,28,1,0,9,56,17,15,1,8,4,4,1,205,RANDOM
org.sourceforge.ifx.framework.element.CustInqRs,class,1,19588,0.916666666666667,2479,0.083333333333333,17109,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.PmtEnclAudRq_Type,class,1,20581,0.983333333333333,17231,0.016666666666667,3350,9,18,1,1,1,105,18,18,0,9,1,0,0,188,GA
org.dom4j.io.SAXHelper,class,0.648543390248196,69436,0.628806548142933,70216,0.019736842105263,-780,2,21,1,0,10,15,6,3,5,1,0,1,6,165,RANDOM
org.sourceforge.ifx.framework.complextype.DepAcctRec_Type,class,1,8800,0.986111111111111,24955,0.013888888888889,-16155,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
org.sourceforge.ifx.framework.element.BaseEnvr,class,1,6433,0.916666666666667,1979,0.083333333333333,4454,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.basetypes.IFXString,class,1,11663,0.971428571428571,7941,0.028571428571429,3722,3,5,1,136,2,4,4,4,0,1,0,0,0,55,GA
org.sourceforge.ifx.framework.complextype.SelRangeCurAmt_Type,class,1,4386,0.972222222222222,3921,0.027777777777778,465,3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
org.asphodel.index.HtmlStringContent,class,0.916666666666667,69740,0.888888888888889,13374,0.027777777777778,56366,3,2,2,0,1,0,2,2,0,1,0,0,0,24,GA
org.quickserver.net.qsadmin.gui.QSAdminGUI,class,0.331722810469765,113963,0.160064164346398,106583,0.171658646123367,7380,10,40,5,0,82,76,12,10,3,20,3,3,13,283,GA
org.sourceforge.ifx.framework.complextype.PmtBatchAddRq_Type,class,1,10500,0.986111111111111,10796,0.013888888888889,-296,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
de.huxhorn.lilith.swing.taskmanager.table.TaskTable,class,0.586799568965517,97147,0.433028872468528,150109,0.153770696496989,-52962,10,23,5,0,35,16,9,8,0,2,0,0,0,141,RANDOM
org.sourceforge.ifx.framework.complextype.PmtAckInfo_Type,class,1,5884,0.944444444444444,6485,0.055555555555556,-601,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
org.sourceforge.ifx.framework.element.BillingMethod,class,1,53563,0.916666666666667,1513,0.083333333333333,52050,1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
net.virtualinfinity.atrobots.compiler.LineNumberReaderCompiler,class,0.537965234030833,171817,0.470975076672656,130571,0.066990157358177,41246,14,68,1,0,69,918,49,22,0,14,0,1,4,261,GA
net.sourceforge.schemaspy.util.DbSpecificConfig,class,0.920198754789272,64509,0.900862068965517,65911,0.019336685823755,-1402,2,13,1,0,13,5,6,5,0,4,0,0,0,109,RANDOM
org.sourceforge.ifx.framework.element.CustStatus,class,1,3295,0.916666666666667,4804,0.083333333333333,-1509,1,2,2,0,1,1,2,2,0,0,0,0,0,40,RANDOM
org.jcvi.jillion.internal.trace.chromat.abi.tag.rate.DefaultScanRate,class,0.981237060041408,76019,0.939595601086284,73220,0.041641458955124,2799,4,17,1,0,3,0,11,10,0,2,0,0,0,119,GA
ghm.follow.config.Configure,class,0.447905406868627,84076,0.218894390351338,91408,0.229011016517289,-7332,10,35,17,0,79,126,13,7,1,22,3,1,77,571,RANDOM
mygrid.web._Request,class,0.889578956582633,69173,0.821508603441377,78910,0.068070353141256,-9737,8,15,1,0,8,8,8,8,3,4,0,1,0,89,RANDOM
org.sourceforge.ifx.framework.element.ClubAcctId,class,0.9375,62377,0.916666666666667,1726,0.020833333333333,60651,1,2,5,0,1,1,2,2,0,0,0,0,0,40,GA
org.heal.servlet.cataloger.MetametadataIdentifierRecordModifier,class,0.538008242809057,90934,0.410122303396573,76103,0.127885939412484,14831,10,12,1,0,17,6,4,4,0,1,0,1,2,81,GA
org.sourceforge.ifx.framework.element.ChkAcceptInfo,class,1,3719,0.916666666666667,2358,0.083333333333333,1361,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.RecPmtRevRq_Type,class,1,18257,0.953703703703704,67748,0.046296296296296,-49491,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
net.sourceforge.schemaspy.model.ImpliedForeignKeyConstraint,class,0.1875,70792,0.375,66456,-0.1875,4336,2,4,2,0,8,6,4,4,0,0,0,0,2,58,GA
org.sourceforge.ifx.framework.complextype.DepAcctStmtMsgRqInfo_Type,class,1,8793,0.944444444444444,7171,0.055555555555556,1622,3,6,1,1,1,3,6,6,0,3,1,0,0,80,GA
lotus.core.decision.MultiDecision,class,1,73669,1,20466,0,53203,1,3,1,0,2,0,2,2,0,1,1,0,0,21,GA
uk.me.jockmacmad.jstate.state.MethodNotPresentException,class,1,4818,1,5087,0,-269,0,1,3,0,0,0,1,1,0,1,0,1,0,33,RANDOM
net.sourceforge.squirrel_sql.client.gui.ViewLogsSheet,class,0.256590412677758,80909,0.191205369590907,74063,0.065385043086851,6846,15,70,7,0,101,319,17,7,2,17,0,5,14,514,GA
simulator.ontology.Consumes,class,0.982142857142857,66785,0.952380952380952,6250,0.029761904761905,60535,8,12,1,0,4,10,12,12,0,4,0,0,0,31,GA
de.huxhorn.lilith.swing.taskmanager.table.TaskTableColumnModel,class,1,21029,1,22882,0,-1853,3,1,2,0,3,0,1,1,0,4,0,4,0,50,RANDOM
org.sourceforge.ifx.framework.element.ChkAcceptMsgRec,class,1,4248,0.916666666666667,2931,0.083333333333333,1317,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
com.sap.managementconsole.soap.axis.sapcontrol.J2EEPSTATE,class,0.954545454545455,90956,0.846590909090909,20349,0.107954545454546,70607,7,13,1,0,6,39,11,10,5,17,14,16,2,84,GA
net.virtualinfinity.atrobots.gui.renderers.ScanRenderer,class,1,61314,0.897727272727273,75184,0.102272727272727,-13870,3,9,1,0,13,4,5,3,0,8,0,0,0,50,RANDOM
org.jcvi.jillion.internal.trace.chromat.abi.tag.DefaultDateTaggedDataRecord,class,0.943452380952381,67925,0.93452380952381,6013,0.008928571428571,61912,6,4,2,0,3,6,4,3,0,0,0,0,1,52,GA
src.Purchase,class,0.362224146415323,81473,0.272793982457848,66175,0.089430163957475,15298,3,38,2,0,29,10,5,5,0,0,0,0,6,166,GA
org.petsoar.util.MoneyConverter,class,0.927083333333333,67426,0.857886904761905,65464,0.069196428571428,1962,1,6,2,0,4,0,1,1,0,0,0,0,0,60,GA
net.sf.xbus.admin.html.NavigationBean,class,0.904166666666667,77400,0.890476190476191,71289,0.013690476190476,6111,0,12,1,0,7,0,3,2,0,23,0,14,0,137,GA
net.sf.xbus.technical.misc.ProgramSender,class,0.489787581699346,66269,0.226423902894491,64638,0.263363678804855,1631,7,5,1,1,4,1,3,3,0,1,0,0,1,66,GA
net.sourceforge.schemaspy.util.Inflection,class,0.829847780215427,69159,0.784352765970413,71323,0.045495014245014,-2164,1,23,1,0,16,10,12,8,7,6,0,3,60,194,RANDOM
org.sourceforge.ifx.framework.complextype.ChkIssueModRs_Type,class,1,42616,0.951388888888889,81855,0.048611111111111,-39239,12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
com.google.earth.kml._2.PointType,class,1,13340,1,9967,0,3373,1,8,1,0,0,20,8,8,0,4,0,0,0,131,GA
org.sourceforge.ifx.framework.complextype.CreditAuthRevRs_Type,class,1,42243,0.958333333333333,89902,0.041666666666667,-47659,12,24,1,1,1,210,24,24,0,12,1,0,0,242,RANDOM
dsachat.server.CServer,class,0.858333333333333,76636,0.857142857142857,76116,0.001190476190476,520,2,5,2,0,7,0,2,2,0,2,0,0,0,48,GA
org.sourceforge.ifx.framework.element.DevPtrSupplyLevel,class,1,6047,0.916666666666667,1599,0.083333333333333,4448,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.BillStatusModRq_Type,class,1,19827,0.96875,50245,0.03125,-30418,8,16,1,1,1,78,16,16,0,8,1,0,0,170,RANDOM
org.sourceforge.ifx.framework.element.ChkAcceptInqRs,class,1,4098,0.916666666666667,2677,0.083333333333333,1421,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.dom4j.tree.FlyweightText,class,0.943181818181818,76762,0.893939393939394,15620,0.049242424242424,61142,5,3,4,1,1,1,3,2,0,1,0,0,0,82,GA
org.fixsuite.message.info.GroupInfo,class,0.96875,77584,0.872127872127872,73386,0.096622127872128,4198,5,22,2,0,48,36,12,11,0,6,0,0,0,181,GA
org.sourceforge.ifx.framework.element.DebitInqRq,class,1,6962,0.916666666666667,2353,0.083333333333333,4609,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.BankSvcChkSumAudRs_Type,class,1,60069,0.919191919191919,76829,0.080808080808081,-16760,14,28,1,1,1,300,28,28,0,14,1,0,0,278,RANDOM
org.sourceforge.ifx.framework.complextype.PrcSched_Type,class,1,13227,0.939393939393939,3758,0.060606060606061,9469,4,8,1,1,1,10,8,8,0,4,1,0,0,98,GA
com.jchapman.jipsnapman.gui.SnapshotListCellRenderer,class,0.888888888888889,75457,0.774884259259259,36828,0.11400462962963,38629,3,6,5,0,24,0,2,2,0,2,0,1,2,106,GA
org.dom4j.util.NonLazyDocumentFactory,class,0.9375,79951,0.9,14295,0.0375,65656,6,2,2,0,0,1,2,2,1,1,0,1,0,80,GA
org.sourceforge.ifx.framework.element.CutoffTm,class,1,3072,0.916666666666667,1653,0.083333333333333,1419,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
visu.handball.moves.views.EventTableCellRenderer,class,0.30249658002736,88828,0.202853234316983,93934,0.099643345710377,-5106,3,10,6,0,14,1,2,2,0,3,0,3,0,71,RANDOM
org.sourceforge.ifx.framework.complextype.DebitAuthAdviseRq_Type,class,1,42703,0.96875,36704,0.03125,5999,8,16,1,1,1,78,16,16,0,8,1,0,0,170,GA
org.sourceforge.ifx.framework.complextype.OrgInfo_Type,class,1,10967,0.925,10671,0.075,296,8,16,1,2,1,78,16,16,0,8,1,0,0,170,GA
org.jcvi.jillion.fasta.pos.DefaultPositionFastaFileDataStore,class,0.392045454545454,74417,0.439393939393939,71490,-0.047348484848485,2927,10,12,1,0,10,43,10,9,4,2,0,0,7,88,GA
src.CommandBean,class,0.986111111111111,68649,0.981481481481482,7995,0.004629629629629,60654,0,6,1,0,0,3,6,6,0,3,0,1,0,26,GA
net.sourceforge.squirrel_sql.client.gui.builders.UIFactory,class,0.918253968253968,91655,0.745704134366925,81747,0.172549833887043,9908,7,16,1,0,8,26,9,7,2,4,0,1,0,163,GA
jahuwaldt.plot.PlotRun,class,0.949960455246914,95485,0.868688525422352,95446,0.081271929824562,39,4,34,3,0,19,0,18,18,0,1,0,0,4,261,GA
dash.examples.producerConsumer.Producer,class,0.833333333333333,67678,0.611111111111111,63769,0.222222222222222,3909,3,1,1,0,1,0,1,1,0,1,0,0,0,26,GA
org.sourceforge.ifx.framework.element.BillStatus,class,1,3729,0.916666666666667,1603,0.083333333333333,2126,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.ChkDetail_Type,class,1,19288,0.954545454545455,75105,0.045454545454545,-55817,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
org.jcvi.jillion.internal.trace.chromat.scf.section.NullSectionCodec,class,0.984375,78584,0.875,8113,0.109375,70471,6,3,1,0,0,3,3,3,0,0,0,0,0,54,GA
org.sourceforge.ifx.framework.complextype.DebitStatusModRs_Type,class,1,25001,0.977272727272727,75981,0.022727272727273,-50980,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
de.huxhorn.lilith.swing.table.ColorScheme,class,0.953170421511628,67497,0.864763850228966,82141,0.088406571282662,-14644,1,27,1,0,9,0,14,13,1,4,0,1,3,111,RANDOM
de.paragon.explorer.model.ObjectModel,class,0.928296939988116,96260,0.855814022578728,104441,0.072482917409388,-8181,10,32,2,0,25,266,24,23,0,5,0,0,2,157,RANDOM
AdminGUI,class,0.18359375,82492,0.244791666666667,69780,-0.061197916666667,12712,7,15,6,0,36,2,5,5,1,9,0,0,2,149,GA
org.sourceforge.ifx.framework.complextype.StopChkAudRq_Type,class,1,20799,0.962121212121212,68548,0.037878787878788,-47749,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
org.sourceforge.ifx.framework.element.ChkNumEnd,class,1,3087,0.916666666666667,1580,0.083333333333333,1507,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
org.exolab.jms.net.tunnel.TunnelServlet,class,0.656857454140063,84176,0.526351426351426,79715,0.130506027788637,4461,7,32,2,0,34,25,11,1,0,10,0,7,2,356,GA
net.sf.xbus.base.core.reflection.XBUSClassLoader,class,0.196631878557875,68860,0.242567994939911,63423,-0.045936116382036,5437,1,12,4,0,13,6,4,1,3,2,0,2,9,79,GA
org.sourceforge.ifx.framework.complextype.CCAcctStmtInqRs_Type,class,1,18203,0.938271604938272,80603,0.061728395061728,-62400,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
nu.staldal.lagoon.core.OutputEntry,class,1,67684,0.964285714285714,13271,0.035714285714286,54413,5,7,1,0,1,7,7,2,0,3,0,0,0,91,GA
org.sourceforge.ifx.framework.complextype.PartyAcctRelInfo_Type,class,1,12993,0.958333333333333,14457,0.041666666666667,-1464,7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
com.sap.managementconsole.soap.axis.saphostcontrol.SAPHostControl_BindingStub,class,0.379617496953901,249414,0.388869529260569,212903,-0.009252032306668,36511,32,156,2,0,45,0,26,23,2,5,0,1,2,1384,GA
net.sourceforge.squirrel_sql.client.gui.OkClosePanel,class,0.663421004398827,87762,0.711304068914956,183056,-0.047883064516129,-95294,4,22,5,0,15,14,10,8,0,5,0,1,1,169,RANDOM
ghm.follow.search.WordResult,class,0.957227138643068,71556,0.948588284871471,9780,0.008638853771597,61776,1,8,1,0,1,0,4,4,0,6,6,0,0,62,GA
org.sourceforge.ifx.framework.complextype.ChkAcceptModRq_Type,class,1,15890,0.964285714285714,17848,0.035714285714286,-1958,7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
org.sourceforge.ifx.framework.element.BaseSvcRs,class,0.9375,64658,0.916666666666667,4559,0.020833333333333,60099,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
net.sf.xisemele.exception.ElementNotFoundException,class,0.9375,65110,0.9,67852,0.0375,-2742,1,1,5,0,0,0,1,1,0,1,0,1,0,23,RANDOM
osa.ora.server.client.ui.ChatWindowPanel,class,0.143776475314052,102381,0.023406088972595,78170,0.120370386341457,24211,11,115,6,0,160,815,29,18,0,37,0,0,27,714,GA
org.sourceforge.ifx.framework.complextype.DevAdviseRs_Type,class,1,29445,0.950617283950617,49161,0.049382716049383,-19716,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
org.sourceforge.ifx.framework.complextype.CreditAuthStatusModRq_Type,class,1,24075,0.976190476190476,57899,0.023809523809524,-33824,7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
org.jcvi.jillion.internal.trace.chromat.abi.AbiUtil,class,0.903125,67923,0.8875,63779,0.015625,4144,1,4,1,0,1,6,4,3,3,2,1,2,1,48,GA
jipa.Variable,class,0.867732558139535,117747,0.991279069767442,24561,-0.123546511627907,93186,1,19,1,0,14,0,9,4,5,3,1,1,5,85,GA
geo.google.datamodel.GeoAddress,class,0.976190476190476,70792,0.928571428571428,15195,0.047619047619048,55597,3,11,1,0,3,47,11,11,0,5,0,1,0,71,GA
visu.handball.moves.views.CircleDrawer,class,0.979166666666667,98041,0.85,88736,0.129166666666667,9305,2,7,1,2,10,7,6,5,0,4,0,0,0,57,GA
Newzgrabber.BatchJob,class,0.994565217391304,74930,0.983584738243123,79660,0.010980479148181,-4730,0,14,1,0,4,37,11,11,0,8,0,0,0,75,RANDOM
net.virtualinfinity.atrobots.computer.Registers,class,0.936170212765957,78993,0.915336879432624,81721,0.020833333333333,-2728,4,26,1,0,12,279,26,24,2,21,0,0,22,137,RANDOM
org.sourceforge.ifx.framework.complextype.PassbkItemStatusInqRs_Type,class,1,12657,0.974358974358974,20353,0.025641025641026,-7696,11,22,1,1,1,171,22,22,0,11,1,0,0,224,RANDOM
org.quickserver.net.client.HttpHost,class,0.966680743243243,71523,0.938555743243243,80783,0.028125,-9260,1,16,3,0,19,29,10,10,0,3,0,0,0,82,RANDOM
oasis.names.tc.ciq.xsdschema.xal._2.XAL,class,0.94047619047619,73890,0.925170068027211,8620,0.015306122448979,65270,1,7,1,0,0,8,5,5,0,4,0,0,0,155,GA
org.quickserver.net.qsadmin.gui.QSAdminMain,class,0.525883514162212,128140,0.371467916728371,125322,0.154415597433841,2818,2,88,1,0,50,21,21,20,0,13,1,3,8,387,GA
org.quickserver.net.server.impl.BlockingClientHandler,class,0.338570724325076,94783,0.354782677618715,98033,-0.016211953293639,-3250,9,148,2,0,85,256,24,16,0,1,0,1,35,491,RANDOM
org.asphodel.index.Indexee,class,0.988636363636364,76788,0.987012987012987,19332,0.001623376623377,57456,1,8,1,0,3,11,7,7,0,3,0,0,0,50,GA
oasis.names.tc.ciq.xsdschema.xal._2.AddressLinesType,class,0.930555555555556,66010,0.912698412698413,7190,0.017857142857143,58820,1,5,1,0,0,3,3,3,0,3,0,0,0,125,GA
com.jchapman.jipsnapman.events.SnapshotEvent,class,1,11145,1,8111,0,3034,1,3,1,0,0,0,3,3,0,5,3,3,0,51,GA
wheel.asm.MethodAdapter,class,0.896666666666667,83769,0.90235632183908,85686,-0.005689655172413,-1917,5,25,1,1,24,0,25,25,0,1,0,0,0,168,RANDOM
org.sourceforge.ifx.framework.complextype.MediaAcctAdjSyncRq_Type,class,1,7666,0.927083333333333,10125,0.072916666666667,-2459,8,16,1,1,1,78,16,16,0,8,1,0,0,170,RANDOM
org.jcvi.jillion.core.util.MultipleFileFilter,class,0.852083333333333,68621,0.852083333333333,67645,0,976,0,5,1,0,2,1,3,3,0,1,0,0,1,60,GA
wheel.components.Submit,class,0.876923076923077,81481,0.807692307692308,72730,0.069230769230769,8751,4,5,4,0,6,10,5,3,0,0,0,0,0,54,GA
org.sourceforge.ifx.framework.complextype.CurrencyAmount,class,1,12647,0.983333333333333,17175,0.016666666666667,-4528,5,10,1,43,1,21,10,10,0,5,1,0,0,116,RANDOM
de.paragon.explorer.gui.DisplayBoxComposer,class,0.944291994320664,122118,0.792029426449479,92650,0.152262567871185,29468,7,12,1,0,16,21,7,2,0,2,0,2,12,112,GA
nu.staldal.lagoon.util.TemplateException,class,1,13523,1,8403,0,5120,0,4,3,0,0,4,4,4,0,1,0,0,0,59,GA
org.exolab.jms.tools.db.Index,class,0.8112291444188,106234,0.752467001389415,97901,0.058762143029385,8333,5,29,1,0,12,111,22,22,1,4,0,0,0,268,GA
osa.ora.server.threads.SendUserUpdatedStatusThread,class,0.984375,73816,0.975,71614,0.009375,2202,2,3,2,0,1,0,2,2,0,2,0,0,0,31,GA
org.sourceforge.ifx.framework.complextype.ChkOrdAudRs_Type,class,1,43971,0.95,79366,0.05,-35395,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
org.sourceforge.ifx.framework.complextype.PassbkItemStatusRec_Type,class,1,4064,0.972222222222222,4433,0.027777777777778,-369,3,6,1,1,1,3,6,6,0,3,1,0,0,80,RANDOM
net.virtualinfinity.atrobots.gui.ToggleProperty,class,0.816435089055002,88107,0.935267857142857,86826,-0.118832768087855,1281,3,21,2,0,14,108,21,16,0,3,0,0,0,87,GA
org.sourceforge.ifx.framework.element.AcctKey,class,0.9375,62426,0.916666666666667,1685,0.020833333333333,60741,1,2,4,0,1,1,2,2,0,0,0,0,0,40,GA
ghm.follow.io.PrintStreamDestination,class,1,7574,1,2626,0,4948,1,5,1,0,1,0,5,5,0,1,0,0,0,42,GA
net.sf.sugar.fspath.cli.Commands,enum,0.863461538461539,67252,0.607692307692308,67168,0.255769230769231,84,0,6,1,0,3,2,4,3,1,2,0,0,1,63,GA
org.sourceforge.ifx.framework.complextype.RemitDelRq_Type,class,1,9702,0.972222222222222,5095,0.027777777777778,4607,6,12,1,1,1,36,12,12,0,6,1,0,0,134,GA
jahuwaldt.plot.SimplePlotXY,class,0.582898853260904,108421,0.678434009361222,128675,-0.095535156100318,-20254,10,48,1,1,48,8,20,13,1,4,0,1,2,477,RANDOM
mygrid.web._SetEngineInfo,class,0.929154144120984,73164,0.88808983121197,107171,0.041064312909014,-34007,7,22,1,0,12,53,14,14,3,7,0,1,0,136,RANDOM
jahuwaldt.plot.TabDSymbol,class,1,32223,1,19957,0,12266,2,3,3,0,1,1,2,1,0,1,0,1,0,67,GA
org.sourceforge.ifx.framework.complextype.CustName_Type,class,0.994565217391304,76029,0.942028985507246,19496,0.052536231884058,56533,8,16,1,1,1,78,16,16,0,8,1,0,0,170,GA
simulator.util.ParameterAttributes,class,0.981481481481482,68766,0.829982120278173,66312,0.151499361203309,2454,3,17,1,0,9,59,15,15,0,9,0,1,2,128,GA
org.sourceforge.ifx.framework.complextype.BalRevRs_Type,class,1,37782,0.961538461538462,81130,0.038461538461538,-43348,13,26,1,1,1,253,26,26,0,13,1,0,0,260,RANDOM
com.allenstudio.ir.ui.DefaultNoteListModel,class,0.851483477221023,87518,0.817455785524704,90264,0.034027691696319,-2746,4,31,1,0,26,0,30,27,0,2,0,0,0,414,RANDOM
org.sourceforge.ifx.framework.element.BillerInqRs,class,1,4213,0.916666666666667,2596,0.083333333333333,1617,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.jcvi.jillion.assembly.tigr.tasm.IndexedTasmFileDataStore,class,0,71778,0.362261904761905,71893,-0.362261904761905,-115,21,23,1,0,17,65,17,15,1,7,0,0,2,162,RANDOM
org.jcvi.jillion.assembly.ca.frg.IndexedFragmentDataStore,class,0,71502,0.039126984126984,69368,-0.039126984126984,2134,24,58,3,0,33,769,36,29,1,9,0,0,8,364,GA
org.jcvi.jillion.assembly.ca.frg.DefaultLibrary,class,0.97734375,69112,0.959486607142857,74296,0.017857142857143,-5184,4,11,1,0,2,0,6,6,0,3,0,0,0,75,RANDOM
net.sourceforge.squirrel_sql.client.gui.SplashStringWriter,class,0.30225988700565,69727,0.209039548022599,63764,0.093220338983051,5963,2,14,1,0,22,8,9,3,0,22,0,9,4,123,GA
org.sourceforge.ifx.framework.element.DebitAuthModRq,class,1,3887,0.916666666666667,2323,0.083333333333333,1564,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.SecObjRec_Type,class,1,9127,0.972222222222222,15443,0.027777777777778,-6316,9,18,1,1,1,105,18,18,0,9,1,0,0,188,RANDOM
org.jcvi.jillion.internal.trace.chromat.abi.tag.TaggedDataType,enum,0.856026785714286,64583,0.597098214285714,66044,0.258928571428572,-1461,1,6,1,0,6,0,3,2,1,2,0,1,3,64,RANDOM
fr.pingtimeout.jtail.io.FileIndexer,class,0.684173553504949,91114,0.58386830080144,91429,0.100305252703509,-315,5,18,2,0,19,0,7,7,0,4,0,2,9,200,RANDOM
