TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RANDOM,TIME_RANDOM,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC,CLASS
org.sourceforge.ifx.framework.element.ChkAcceptAudRq,class,1,3918,0.916666666666667,2122,0.083333333333333,1796,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.sourceforge.ifx.framework.complextype.StdPayeeInqRs_Type,class,1,17446,0.95045045045045,70746,0.04954954954955,-53300,15,30,1,1,1,351,30,30,0,15,1,0,0,296,RANDOM
org.sourceforge.ifx.framework.complextype.ExtAcctBal_Type,class,1,11500,0.986111111111111,15574,0.013888888888889,-4074,6,12,1,1,1,36,12,12,0,6,1,0,0,134,RANDOM
org.sourceforge.ifx.framework.complextype.CCAcctTrnMsgRqInfo_Type,class,1,7220,0.916666666666667,5901,0.083333333333333,1319,2,4,1,1,1,0,4,4,0,2,1,0,0,62,GA
org.sourceforge.ifx.framework.complextype.PartyAcctRelDelRq_Type,class,1,7080,0.933333333333333,7470,0.066666666666667,-390,7,14,1,1,1,55,14,14,0,7,1,0,0,152,RANDOM
org.sourceforge.ifx.framework.element.DevInqRs,class,1,10982,0.916666666666667,2680,0.083333333333333,8302,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
org.heal.servlet.cataloger.ModifyCatalogQueueEntryAction,class,0.491706349206349,90548,0.223809523809524,69958,0.267896825396825,20590,9,16,1,0,28,3,3,2,1,0,0,0,2,116,GA
de.paragon.explorer.excp.FigureEventException,class,1,8667,1,4721,0,3946,1,2,4,0,0,1,2,2,0,1,0,1,0,30,GA
org.sourceforge.ifx.framework.element.ChkAcceptCanRq,class,1,3664,0.916666666666667,2050,0.083333333333333,1614,1,2,2,0,1,1,2,2,0,0,0,0,0,40,GA
net.virtualinfinity.atrobots.atsetup.AtRobotPort,enum,0.831439393939394,72466,0.797835497835498,69925,0.033603896103896,2541,0,8,1,0,5,0,6,3,1,3,2,1,6,76,GA
ghm.follow.font.NoFontStyleSelectedException,class,1,9706,1,5544,0,4162,1,1,4,0,0,0,1,1,0,0,0,0,0,9,GA
