TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
org.sourceforge.ifx.framework.element.CardPrefStatusCode,class,1,18874,0.916666666666667,1537,0.083333333333333,12.2797657774886,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.DevCamStatusState,class,0.9375,62386,0.916666666666667,1575,0.020833333333333,39.6101587301587,1,2,4,0,1,1,2,2,0,0,0,0,0,40
com.sap.managementconsole.soap.axis.sapcontrol.ParameterRestriction,class,0.963874252182047,105326,0.835177318055399,90252,0.128696934126648,1.16702122944644,8,34,1,0,25,95,19,19,3,9,0,1,3,282
org.sourceforge.ifx.framework.complextype.ChkIssueRec_Type,class,1,19494,0.958333333333333,12429,0.041666666666667,1.56842867487328,4,8,1,1,1,10,8,8,0,4,1,0,0,98
org.jcvi.jillion.assembly.consed.phd.PhdFileDataStoreBuilder,class,0.860281385281385,76310,0.822781385281385,78819,0.0375,0.968167573808346,6,15,1,0,5,0,5,5,0,4,0,0,4,65
org.jcvi.jillion.internal.trace.chromat.DefaultChannelGroup,class,0.93117816091954,104154,0.898886494252874,78952,0.032291666666666,1.31920660654575,4,24,1,0,19,6,12,8,0,4,0,0,8,162
wheel.AbortProcessingException,class,1,6326,1,4815,0,1.31381100726895,0,0,4,0,0,0,0,0,0,0,0,0,0,3
net.sf.xbus.sample.Dealer,class,0.742320261437909,74970,0.628717320261438,69519,0.113602941176471,1.07841021878911,2,8,1,0,6,6,5,5,0,3,0,3,4,97
net.sf.xbus.protocol.csv.CSVSerializer,class,0.198685767410412,100120,0.252659454586432,74982,-0.05397368717602,1.33525379424395,6,41,1,0,30,7,7,2,1,8,0,2,6,302
org.heal.servlet.cataloger.CancelEditMetadataAction,class,0.67288961038961,68265,0.322781385281385,65146,0.350108225108225,1.04787707610598,6,4,1,0,6,1,2,2,0,0,0,0,1,37
lotus.core.decision.DeclareAttackerDecision,class,0.84375,62752,0.625,68324,0.21875,0.918447397693343,4,1,1,0,1,0,1,1,0,1,1,0,0,15
ghm.follow.gui.DisableableConfirm,class,0.166666666666667,78780,0,70359,0.166666666666667,1.11968618087238,0,6,6,0,11,6,3,1,0,2,0,0,2,99
nu.staldal.lagoon.core.Parse,class,0.875,68421,1,6685,-0.125,10.2350037397158,2,0,3,1,0,0,0,0,0,0,0,0,0,47
org.dom4j.tree.AbstractCDATA,class,0.886607142857143,77175,0.809183673469388,78720,0.077423469387755,0.980373475609756,4,8,3,1,7,15,6,5,0,0,0,0,0,94
com.imsmart.misc.MMailer,class,0.997549019607843,65382,0.981580510992276,65105,0.015968508615567,1.00425466554028,9,11,1,0,20,21,10,9,0,6,0,0,1,100
net.sf.xisemele.exception.InvalidNameException,class,0.9375,68370,0.9,66271,0.0375,1.03167297913114,1,1,5,0,0,0,1,1,0,1,0,1,0,22
de.paragon.explorer.figure.TextBoxFigureBuilder,class,0.460011997094014,86656,0.305847124084974,83790,0.15416487300904,1.03420455901659,10,24,1,0,58,101,15,5,3,5,0,5,10,212
net.sourceforge.ext4j.taglib.bo.DefaultResourceLoader,class,0.90218253968254,67145,0.616468253968254,69717,0.285714285714286,0.963107993746145,0,5,1,0,5,1,2,2,0,1,0,1,0,50
org.sourceforge.ifx.framework.complextype.DevDetailIdc_Type,class,1,11215,0.990740740740741,52215,0.009259259259259,0.214785023460691,9,18,1,1,1,105,18,18,0,9,1,0,0,188
org.sourceforge.ifx.framework.element.DevCdmPositionStatus,class,0.9375,62504,0.916666666666667,1723,0.020833333333333,36.2762623331399,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.internal.trace.chromat.scf.section.DefaultSectionCodecFactory,enum,0.884903381642512,72251,0.693704710144928,69171,0.191198671497584,1.04452733081783,12,13,1,0,7,8,5,2,1,6,0,6,4,88
com.sap.managementconsole.soap.axis.sapcontrol.ICMThread,class,0.942499137336094,97503,0.907739327615104,101997,0.03475980972099,0.955939880584723,7,27,1,0,14,70,17,17,3,8,0,1,0,237
com.lts.application.data.IdApplicationDataList,class,0.308633367139959,69756,0.228565305644413,82034,0.080068061495546,0.850330350830144,5,32,3,4,33,102,20,11,0,4,0,1,0,191
com.lts.caloriecount.data.Adjustment,class,0.8125,70627,0.795454545454545,21514,0.017045454545455,3.28283908152831,4,11,3,0,18,35,11,10,0,5,1,3,0,88
org.sourceforge.ifx.framework.element.BillerInfo,class,1,3742,0.916666666666667,2117,0.083333333333333,1.76759565422768,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.fasta.aa.AminoAcidFastaFileDataStoreBuilder,class,0.76875,77095,0.795238095238095,66663,-0.026488095238095,1.15648860687338,8,8,2,0,6,10,5,4,0,0,0,0,3,93
net.sourceforge.squirrel_sql.client.SquirrelLoggerFactory,class,0.961236933797909,83129,0.876887340301975,82208,0.084349593495934,1.01120328921759,4,7,2,0,18,6,4,2,0,0,0,0,16,98
org.jcvi.jillion.assembly.consed.ace.PhdInfo,class,0.86902664401363,73363,0.816702719208854,70398,0.052323924804776,1.04211767379755,1,22,1,0,4,0,7,7,0,2,0,0,0,152
de.huxhorn.lilith.swing.callables.FindPreviousCallable,class,0.737720131375294,118156,0.687829218466174,131023,0.04989091290912,0.901795867901055,8,13,2,0,15,0,2,2,0,4,0,0,0,83
org.sourceforge.ifx.framework.element.DevDepTransport,class,0.9375,62356,0.916666666666667,1642,0.020833333333333,37.9756394640682,1,2,4,0,1,1,2,2,0,0,0,0,0,40
nu.staldal.lagoon.core.Sitemap,class,0,74659,0,66080,0,1.12982748184019,15,66,1,0,41,21,11,8,0,13,0,0,0,414
org.sourceforge.ifx.framework.complextype.CustPayeeAudRq_Type,class,1,37121,0.975,32871,0.025,1.12929329804387,9,18,1,1,1,105,18,18,0,9,1,0,0,188
com.jchapman.jipsnapman.models.NumbersOnlyDocument,class,0.996987951807229,82067,0.965680905439942,32640,0.031307046367287,2.51430759803922,0,6,3,0,4,1,2,2,0,0,0,0,1,56
com.lts.application.menu.LocalActionListener,class,0.986111111111111,62858,0.981481481481482,66836,0.004629629629629,0.940481177808367,0,3,1,0,2,0,2,2,0,3,2,1,1,49
org.sourceforge.ifx.framework.complextype.DepAcctId_Type,class,1,13219,0.944444444444444,11410,0.055555555555556,1.15854513584575,6,12,1,3,1,36,12,12,0,6,1,0,0,134
jaw.configuracoes.ArquivoRecente,class,0.38030303030303,72665,0.507070707070707,73551,-0.126767676767677,0.987953936724178,0,9,1,0,16,0,4,4,4,1,0,1,1,63
org.exolab.jms.plugins.proxygen.Main,class,0.715250329380764,68089,0.665788317962231,68020,0.049462011418533,1.0010144075272,2,8,1,0,13,3,3,1,2,0,0,0,2,101
org.sourceforge.ifx.framework.element.BillSummAmtId,class,0.9375,62481,0.916666666666667,1726,0.020833333333333,36.1998841251448,1,2,5,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.BillInqRs_Type,class,1,76813,0.934640522875817,89526,0.065359477124183,0.857996559658647,20,40,1,1,1,666,40,40,0,20,1,0,0,386
net.sourceforge.squirrel_sql.client.gui.LogPanel,class,0.425865376522081,93010,0.3412951241885,89757,0.084570252333581,1.0362422986508,9,38,5,0,43,152,13,4,0,24,0,5,6,315
macaw.persistenceLayer.production.SQLFilterQueries,class,0.596932169308669,105221,0.433972448935527,80784,0.162959720373142,1.30249801940978,8,30,1,0,38,0,4,4,0,2,0,0,16,323
com.lts.LTSRuntimeException,class,0.96875,64483,0.86007591442374,77217,0.10867408557626,0.835088128261911,0,21,4,1,7,21,18,18,0,2,0,1,0,140
de.huxhorn.lilith.swing.table.model.PersistentTableColumnModel,class,0.925727267208265,133742,0.688924495247346,165464,0.236802771960919,0.808284581540396,1,43,2,0,22,72,21,20,0,4,0,0,0,275
net.sourceforge.squirrel_sql.client.gui.desktopcontainer.SelectWidgetAction,class,0.997395833333333,93588,0,71343,0.997395833333333,1.31180354064169,3,4,3,2,5,1,3,2,1,2,0,1,1,29
org.sourceforge.ifx.framework.complextype.PassbkItemInqRq_Type,class,1,12624,0.961538461538462,15019,0.038461538461538,0.840535321925561,11,22,1,1,1,171,22,22,0,11,1,0,0,224
wheel.components.TextArea,class,0.9625,78671,0.8625,70397,0.1,1.11753341761723,4,5,4,0,7,6,4,4,0,0,0,0,0,48
com.imsmart.main.MSession,class,0.96875,63972,0.964285714285714,8279,0.004464285714286,7.7270201715183,1,5,1,0,2,0,4,3,1,4,2,3,0,30
macaw.presentationLayer.CleaningStateEditor,class,0.285416666666667,83169,0.320833333333333,84728,-0.035416666666666,0.981599943348126,5,11,2,0,20,15,6,5,0,0,0,0,2,140
org.sourceforge.ifx.framework.element.DepApplicantAcctRel,class,0.9375,62429,0.916666666666667,1497,0.020833333333333,41.7027388109552,1,2,5,0,1,1,2,2,0,0,0,0,0,40
net.virtualinfinity.atrobots.computer.DebugInfo,class,0.99,66905,0.955,4183,0.035,15.9945015539087,0,6,1,0,5,4,5,5,0,3,0,0,0,33
org.sourceforge.ifx.framework.element.ChkBkStyleId,class,0.9375,62468,0.916666666666667,1486,0.020833333333333,42.0376850605653,1,2,5,0,1,1,2,2,0,0,0,0,0,40
net.sf.xbus.base.core.ASCIITokenizer,class,0.95014880952381,82443,0.902210884353741,8506,0.047937925170069,9.69233482247825,1,12,2,0,5,3,7,6,0,2,0,0,0,130
org.sourceforge.ifx.framework.element.ChkAcceptRec,class,1,3518,0.916666666666667,2050,0.083333333333333,1.71609756097561,1,2,2,0,1,1,2,2,0,0,0,0,0,40
visu.handball.moves.www.MovesViewer,class,0.152717391304348,76359,0,69977,0.152717391304348,1.09120139474399,5,37,6,0,75,76,14,5,0,13,2,2,3,294
ghm.follow.search.ClearAllHighlights,class,0.527777777777778,71120,0.244444444444444,72976,0.283333333333334,0.974566980925236,3,3,3,0,6,1,2,2,0,1,1,1,3,48
net.virtualinfinity.atrobots.computer.InterruptHandler,class,0.3125,77731,0.732142857142857,81136,-0.419642857142857,0.95803342535989,2,4,1,16,2,2,4,3,0,2,0,0,0,21
org.quickserver.util.xmlreader.ConfigReader,class,0.569684816338313,95480,0.539746427798225,83120,0.029938388540088,1.14870067372474,26,15,1,0,31,6,4,3,4,1,0,1,5,448
net.sf.xbus.application.Adapter,class,0.44492174730304,113289,0.207893569327044,78853,0.237028177975996,1.4367113489658,14,55,1,0,41,22,8,5,3,3,0,0,17,465
org.dom4j.rule.Mode,class,0.792200456723753,119610,0.77921344373674,122744,0.012987012987013,0.974467183731995,8,45,1,0,24,35,10,7,0,3,0,0,0,257
org.sourceforge.ifx.framework.element.ChkOrdInqRq,class,1,3849,0.916666666666667,2147,0.083333333333333,1.79273404750815,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.assembly.consed.ace.AbstractAceConsensusTagVisitor,class,0,67926,0,63159,0,1.07547617916686,3,6,1,0,5,3,6,5,0,1,0,0,1,65
de.outstare.fortbattleplayer.gui.statistics.DataPanel,class,0.880149375656436,77784,0.880149375656436,89361,0,0.870446839225165,18,17,5,0,35,136,15,1,0,1,0,1,5,201
net.virtualinfinity.atrobots.hardware.scanning.radar.Radar,class,0.659722222222222,75258,0.712962962962963,78169,-0.053240740740741,0.962760173470302,4,4,1,0,6,1,2,2,0,1,0,0,2,26
nu.staldal.lagoon.BuildSitemap,class,0.951210907704043,76235,0.888340416258036,72230,0.062870491446007,1.05544787484425,4,13,1,0,23,0,2,2,2,2,0,2,4,136
org.sourceforge.ifx.framework.complextype.CustSvcModRs_Type,class,1,49727,0.959770114942529,86780,0.040229885057471,0.573023738188523,13,26,1,1,1,253,26,26,0,13,1,0,0,260
com.lts.application.data.plugable.PluggableApplicationDataElement,class,0,66350,0,79837,0,0.831068301664642,3,11,1,0,5,24,9,9,0,1,0,0,2,57
org.javathena.login.Login,class,0.588265184484454,238144,0.545184945322012,238881,0.043080239162442,0.996914781836982,17,164,3,0,177,698,44,43,17,19,7,12,287,1174
de.huxhorn.lilith.swing.table.tooltips.MarkerTooltipGenerator,class,0.79997183935572,91486,0.590509862877619,167833,0.209461976478101,0.545101380538988,4,12,1,0,15,1,2,2,1,0,0,0,2,95
fr.pingtimeout.jtail.gui.model.OpenFileModelEvent,class,1,8595,1,4622,0,1.85958459541324,2,1,1,0,0,0,1,1,0,3,3,0,0,16
com.lts.application.swing.CheckedApplicationActionListener,class,0,62145,0,61649,0,1.00804554818407,0,4,1,0,2,3,3,3,0,0,0,0,1,53
org.sourceforge.ifx.framework.complextype.BillPmtStatusCounts_Type,class,1,9559,0.972222222222222,7795,0.027777777777778,1.22629890955741,3,6,1,1,1,3,6,6,0,3,1,0,0,80
simulator.ontology.PriceBlock,class,0.996875,66026,0.958333333333333,3421,0.038541666666667,19.3002046185326,1,8,1,0,0,8,8,8,0,4,0,0,0,24
geo.google.GeoAddressStandardizer,class,0.420263035000328,257335,0.526014064192237,228024,-0.105751029191909,1.12854348665053,14,37,1,0,27,205,23,22,2,9,0,4,13,284
jigl.image.ColorHistogram,class,0.761074969021066,184281,0.732005201579205,255004,0.029069767441861,0.722659252403884,3,27,1,0,4,0,4,4,0,7,0,0,0,143
org.jcvi.jillion.core.pos.DefaultPositionSequence,class,0.848712587222379,91007,0.819866433376225,91778,0.028846153846154,0.991599293948441,6,21,1,0,11,5,14,11,0,3,0,0,9,117
org.sourceforge.ifx.framework.complextype.TerminalSPObjAddRq_Type,class,1,5234,0.979166666666667,4101,0.020833333333333,1.27627407949281,4,8,1,1,1,10,8,8,0,4,1,0,0,98
org.sourceforge.ifx.framework.complextype.ChkIssueStatus_Type,class,1,24103,0.966666666666667,9340,0.033333333333333,2.58062098501071,5,10,1,1,1,21,10,10,0,5,1,0,0,116
fr.pingtimeout.jtail.gui.view.JTailMainFrame,class,0.386363636363636,82968,0,81460,0.386363636363636,1.01851215320403,9,6,6,0,22,0,2,2,0,24,0,1,5,146
org.sourceforge.ifx.framework.complextype.PostingSessionAudRq_Type,class,1,13944,0.977272727272727,20366,0.022727272727273,0.684670529313562,10,20,1,1,1,136,20,20,0,10,1,0,0,206
org.dom4j.tree.DefaultDocumentType,class,0.964285714285714,91674,0.925170068027211,31159,0.039115646258503,2.94213549857184,3,13,3,1,0,46,13,13,0,5,0,0,0,158
org.sourceforge.ifx.framework.complextype.MediaAcctInventoryMsgRqInfo_Type,class,1,4584,0.958333333333333,5407,0.041666666666667,0.847789901978916,2,4,1,1,1,0,4,4,0,2,1,0,0,62
net.sf.xisemele.exception.ElementIndexOutOfBoundsException,class,0.9375,64530,0.9,68777,0.0375,0.938249705570176,1,1,5,0,0,0,1,1,0,1,0,1,0,25
net.sourceforge.schemaspy.DbAnalyzer,class,0.522416783090407,174423,0.359978180685012,101047,0.162438602405395,1.72615713479866,6,79,1,0,81,171,16,16,16,0,0,0,20,360
org.character.data.XMLCharacter,class,0.791666666666667,84302,0.80952380952381,23829,-0.017857142857143,3.53779008770825,6,4,1,0,6,0,3,3,0,3,0,1,0,44
org.sourceforge.ifx.framework.element.CardPrefStatus,class,1,3520,0.916666666666667,1712,0.083333333333333,2.05607476635514,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.BaseSvcProfInfo,class,1,3320,0.916666666666667,1932,0.083333333333333,1.7184265010352,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.StopChkMsgRqInfo_Type,class,1,7642,0.930555555555556,13665,0.069444444444444,0.559238931577022,6,12,1,1,1,36,12,12,0,6,1,0,0,134
com.sap.netweaver.porta.ide.eclipse.server.runtime.SapNW711Runtime,class,0.916666666666667,70985,0.777777777777778,7547,0.138888888888889,9.4057241287929,1,2,3,0,0,1,2,2,0,2,0,2,0,62
de.huxhorn.lilith.swing.StatisticsDialog,class,0.15625,100955,0,90133,0.15625,1.12006701208215,7,13,6,0,21,0,4,4,0,3,0,0,0,106
org.sourceforge.ifx.framework.element.DevCimBinDenomination,class,0.9375,62394,0.916666666666667,1500,0.020833333333333,41.596,1,2,3,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.assembly.consed.phd.PhdUtil,class,0.896390374331551,71892,0.76403743315508,68031,0.132352941176471,1.05675353882789,0,5,1,0,4,8,5,4,4,1,0,1,2,77
net.sourceforge.squirrel_sql.client.gui.db.SchemaTableTypeCombination,class,1,5793,1,2572,0,2.25233281493002,0,0,1,0,0,0,0,0,0,2,2,0,0,6
com.browsersoft.openhre.hl7.impl.parser.HL7CheckerUtils,class,1,5894,1,1355,0,4.34981549815498,0,0,1,0,0,0,0,0,0,0,0,0,0,25
org.sourceforge.ifx.framework.complextype.DepAcctStmtRevRq_Type,class,1,17714,0.962962962962963,45863,0.037037037037037,0.386237271874932,9,18,1,1,1,105,18,18,0,9,1,0,0,188
net.virtualinfinity.atrobots.computer.AddInstruction,class,1,23382,1,19862,0,1.1772228375793,1,2,3,0,0,1,2,1,0,0,0,0,0,14
de.huxhorn.lilith.services.sender.SenderService,class,0.416359523818985,284302,0.351779039612097,124547,0.064580484206888,2.28268846298988,25,105,1,0,87,78,24,19,1,14,0,0,5,555
org.sourceforge.ifx.framework.element.BankSvcChkSumStatus,class,1,3332,0.916666666666667,1723,0.083333333333333,1.93383633197911,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.jcvi.jillion.core.residue.nt.DefaultNucleotideCodec,enum,0.863439739856796,186002,0.814216763853802,117151,0.049222976002994,1.58771158590196,5,59,1,0,46,433,31,20,0,10,0,5,22,388
org.sourceforge.ifx.framework.element.DebitAuthRec,class,1,9193,0.916666666666667,2091,0.083333333333333,4.39646102343376,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.DevSiuOpenClose,class,0.9375,62469,0.916666666666667,1513,0.020833333333333,41.2881692002644,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.dom4j.io.SAXModifyElementHandler,class,0.671962841080488,79430,0.577023466729349,80343,0.094939374351139,0.988636222197329,7,10,1,0,15,0,4,3,0,2,0,0,0,125
org.sourceforge.ifx.framework.complextype.DevDetailSiu_Type,class,1,15617,0.96875,61082,0.03125,0.255672702269081,8,16,1,1,1,78,16,16,0,8,1,0,0,170
org.sourceforge.ifx.framework.complextype.CreditAuthModRq_Type,class,1,23047,0.976190476190476,25736,0.023809523809524,0.895516008703761,7,14,1,1,1,55,14,14,0,7,1,0,0,152
com.sap.managementconsole.soap.axis.sapcontrol.ICMCacheEntry,class,0.947286458148109,118153,0.840669035849341,97602,0.106617422298768,1.21055920985226,7,38,1,0,19,194,25,25,3,12,0,1,0,355
de.huxhorn.lilith.swing.EventWrapperViewPanel,class,0,111347,0.00408719346049,118945,-0.00408719346049,0.93612173693724,74,266,10,2,211,3454,104,82,0,54,6,18,6,1553
net.virtualinfinity.atrobots.computer.ReadOnlyMemoryArray,class,0.765625,70638,0.732142857142857,66817,0.033482142857143,1.05718604546747,2,8,2,0,5,28,8,8,0,0,0,0,2,32
org.sourceforge.ifx.framework.complextype.PassbkItemStatusModRs_Type,class,1,13204,0.930555555555556,71465,0.069444444444444,0.184761771496537,12,24,1,1,1,210,24,24,0,12,1,0,0,242
org.sourceforge.ifx.framework.element.AcctRevRq,class,1,3597,0.916666666666667,2609,0.083333333333333,1.37868915293216,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.TerminalObjAdviseRq_Type,class,1,7520,0.944444444444444,8925,0.055555555555556,0.842577030812325,6,12,1,1,1,36,12,12,0,6,1,0,0,134
net.virtualinfinity.atrobots.snapshots.ScanSnapshot,class,0.98125,70386,0.975,74660,0.00625,0.942753817305117,4,13,2,0,13,46,12,11,0,6,0,0,2,59
com.imsmart.exception.MException,class,1,7337,1,7711,0,0.951497860199715,0,4,3,0,0,6,4,4,0,0,0,0,0,23
org.fixsuite.message.parsers.fpl.MsgTypeParser,class,0.657433712121212,70629,0.209911616161616,68581,0.447522095959596,1.0298624983596,5,5,2,0,20,0,1,0,0,10,0,10,1,110
com.lts.caloriecount.data.CalorieCountDataElements,enum,1,1038,1,611,0,1.69885433715221,0,0,1,0,0,0,0,0,0,0,0,0,0,12
ghm.follow.gui.ComponentBuilder,class,0.393714363575382,87715,0.524952484767175,84899,-0.131238121191793,1.0331688241322,5,9,1,0,16,26,9,8,8,6,6,6,6,164
net.sf.xbus.technical.ldap.LDAPSender,class,0.244539440444613,84509,0.136616503365272,79237,0.107922937079341,1.06653457349471,12,29,1,0,47,29,11,8,0,7,0,3,5,267
org.sourceforge.ifx.framework.complextype.DevDetailAlm_Type,class,1,7386,0.958333333333333,4827,0.041666666666667,1.53014294592915,4,8,1,1,1,10,8,8,0,4,1,0,0,98
lotus.core.cost.Cost,class,0.875,72765,0.75,6058,0.125,12.011389897656,1,2,1,2,0,1,2,2,0,1,1,0,0,12
org.sourceforge.ifx.framework.complextype.RecPmtSyncRq_Type,class,1,6900,0.976190476190476,14713,0.023809523809524,0.468973017059743,7,14,1,1,1,55,14,14,0,7,1,0,0,152
net.virtualinfinity.atrobots.computer.PopInstruction,class,1,42430,0.833333333333333,36997,0.166666666666667,1.14684974457388,2,2,2,0,1,1,2,1,0,0,0,0,0,14
Newzgrabber.StringSorter,class,0.949404761904762,75056,0.928571428571428,8109,0.020833333333334,9.25588851892958,2,11,3,0,10,8,5,5,1,1,0,0,1,63
net.sourceforge.schemaspy.view.DotFormatter,class,0.325580051260539,68969,0.147342063199003,74245,0.178237988061536,0.928937975621254,12,70,1,0,60,66,12,6,1,2,0,1,10,285
visu.handball.moves.actions.OpenAction,class,0.430555555555555,92795,0.088888888888889,85989,0.341666666666666,1.07914965867727,4,11,3,0,18,3,3,1,0,0,0,0,9,87
bcry.bcWordList,class,0.966540404040404,80597,0.945887445887446,16821,0.020652958152958,4.79145116223768,1,12,1,0,11,0,9,9,0,3,0,0,0,69
com.browsersoft.openhre.hl7.TestExpresion,class,0.985294117647059,67519,0.980392156862745,63058,0.004901960784314,1.07074439404992,5,2,1,0,5,0,1,1,1,0,0,0,0,53
org.javathena.core.data.Skill,class,1,14652,1,8412,0,1.74179743223966,0,7,1,0,0,7,7,7,0,3,0,0,0,35
org.sourceforge.ifx.framework.complextype.DevStatus_Type,class,1,21071,0.972222222222222,15136,0.027777777777778,1.39211152219873,7,14,1,1,1,55,14,14,0,7,1,0,0,152
com.imsmart.misc.MLog,class,0.9375,68330,0.928571428571429,8934,0.008928571428571,7.6483098276248,2,7,1,0,8,0,5,4,1,2,0,2,4,47
jahuwaldt.plot.TabRSymbol,class,1,35652,1,16052,0,2.22103164714677,2,3,3,0,1,1,2,1,0,1,0,1,0,67
org.sourceforge.ifx.framework.element.DevCimDropBox,class,1,3449,0.916666666666667,1589,0.083333333333333,2.17054751415985,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.heal.servlet.ShowRegistrationInfoAction,class,0.25140056022409,72739,0.372829131652661,70128,-0.121428571428571,1.03723191877709,8,14,1,0,18,3,3,3,0,0,0,0,0,63
org.character.net.packet.ClientConnect,class,0.75,64070,0.857142857142857,5722,-0.107142857142857,11.1971338692765,3,1,1,0,1,0,1,1,0,0,0,0,0,12
org.sourceforge.ifx.framework.element.CardSeqNum,class,1,35387,0.916666666666667,1503,0.083333333333333,23.544244843646,1,2,4,0,1,1,2,2,0,0,0,0,0,40
gui.ChatListener,class,1,82793,0.75,66537,0.25,1.24431519305048,0,2,2,0,3,0,1,1,0,0,0,0,0,27
net.sourceforge.squirrel_sql.client.gui.desktopcontainer.docktabdesktop.TabWindowController,class,0.193910256410256,78698,0.275641025641026,73446,-0.08173076923077,1.07150831903712,5,10,1,0,35,9,4,2,0,1,0,0,0,79
net.sf.xisemele.exception.XisemeleException,class,0.708333333333333,70804,0.777777777777778,67388,-0.069444444444445,1.05069151777765,0,3,4,16,4,3,3,2,1,1,0,1,4,61
org.sourceforge.ifx.framework.complextype.DepBkOrdAdviseRs_Type,class,1,20562,0.972222222222222,74106,0.027777777777778,0.277467411545624,12,24,1,1,1,210,24,24,0,12,1,0,0,242
org.sourceforge.ifx.framework.complextype.DepAppStatus_Type,class,1,13124,0.95,12844,0.05,1.02180006228589,5,10,1,1,1,21,10,10,0,5,1,0,0,116
org.sourceforge.ifx.framework.complextype.SignonRq_Type,class,1,17290,0.944444444444444,70135,0.055555555555556,0.246524559777572,15,30,1,1,1,351,30,30,0,15,1,0,0,296
org.jcvi.jillion.core.residue.nt.DefaultNucleotideSequence,class,0.903746715465466,95102,0.760206691066066,73329,0.1435400243994,1.29692209085082,7,21,2,0,17,0,12,10,1,3,0,0,0,144
lotus.core.stack.TriggeredAbility,class,0,63330,0,62050,0,1.02062852538276,2,1,1,0,0,0,1,1,0,0,0,0,0,6
org.sourceforge.ifx.framework.complextype.PassbkDelRs_Type,class,1,22623,0.954545454545455,69386,0.045454545454545,0.326045599976941,11,22,1,1,1,171,22,22,0,11,1,0,0,224
org.sourceforge.ifx.framework.element.AcctPayAcctId,class,0.9375,62444,0.916666666666667,1628,0.020833333333333,38.3562653562654,1,2,5,0,1,1,2,2,0,0,0,0,0,40
nu.staldal.lagoon.core.LagoonProcessor,class,0.125,64680,0,69725,0.125,0.927644316959484,8,103,1,0,59,188,24,16,0,15,0,1,11,611
net.sf.xbus.base.bytearraylist.ByteArrayConverterFile,class,0.163194444444444,66147,0.435185185185185,62548,-0.271990740740741,1.05753980942636,3,14,1,0,4,0,4,4,0,2,0,0,1,118
org.sourceforge.ifx.framework.element.CustPermId,class,0.9375,62418,0.916666666666667,1669,0.020833333333333,37.3984421809467,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.SecObjStatus_Type,class,1,12977,0.983333333333333,6985,0.016666666666667,1.85783822476736,5,10,1,1,1,21,10,10,0,5,1,0,0,116
com.sap.netweaver.porta.core.mock.CoreModuleMock,class,0.74985119047619,68541,0.530187074829932,71717,0.219664115646258,0.955714823542535,5,10,1,2,6,0,4,1,0,4,0,2,0,56
com.sap.netweaver.porta.core.nw7.LifecycleManagerImpl,class,0.290681453988523,103073,0.124264739472818,83532,0.166416714515705,1.2339343006273,18,34,2,0,20,198,14,11,0,3,0,0,1,180
net.sourceforge.ext4j.log.logback.converter.ProtocolConverter,class,0.75,66498,0.833333333333333,8523,-0.083333333333333,7.80218233016544,2,1,2,0,2,0,1,1,0,0,0,0,1,20
org.dom4j.rule.Rule,class,0.980505393996248,143664,0.915505896542482,104832,0.064999497453766,1.37042124542125,5,31,1,0,13,152,25,25,0,6,0,0,1,289
com.lts.application.prop.PropertyElement,class,0.826045066045066,64676,0.697830225330225,70536,0.128214840714841,0.916921855506408,4,9,1,0,5,7,6,6,0,8,4,4,0,92
org.sourceforge.ifx.framework.complextype.PmtRemitChksum_Type,class,1,6087,0.958333333333333,13248,0.041666666666667,0.459465579710145,6,12,1,1,1,36,12,12,0,6,1,0,0,134
org.sourceforge.ifx.framework.complextype.DevCdmBin_Type,class,1,9377,0.953703703703704,52428,0.046296296296296,0.178854810406653,9,18,1,1,1,105,18,18,0,9,1,0,0,188
net.virtualinfinity.atrobots.hardware.mines.Mine,class,0.886566332218506,79942,0.821982998885173,87902,0.064583333333333,0.909444608768856,8,12,1,0,12,18,8,7,0,3,0,0,0,55
fr.unice.gfarce.interGraph.ModifierRespAction,class,0.7875,69304,0.5,68564,0.2875,1.01079283589056,2,2,2,0,1,1,2,2,0,3,0,1,0,31
org.jcvi.jillion.assembly.ca.asm.AsmUtil,class,0.919270833333333,69505,0.911458333333333,73240,0.0078125,0.94900327689787,1,3,1,0,2,1,2,1,1,0,0,0,0,54
