TARGET,TYPE,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,CBO,WNC,DIT,NOC,RFC,LCOM,NOM,NOPM,NOSM,NOF,NOPF,NOSF,NOSI,LOC
module.ConfigModule,class,0.17156862745098,73703,0.032679738562092,68751,0.138888888888888,1.07202804322846,8,40,2,0,37,0,9,7,0,4,0,0,2,259
net.sf.sugar.scl.IncludeHolder,class,0.925,69078,0.914285714285714,4710,0.010714285714286,14.6662420382166,1,3,1,0,0,0,3,3,0,1,0,0,0,25
fr.pingtimeout.jtail.gui.action.ChooseFileAction,class,0.593055555555556,82141,0.363492063492063,81537,0.229563492063493,1.00740767994898,4,4,3,0,11,0,2,2,0,4,0,2,4,59
de.outstare.fortbattleplayer.gui.GuiPlayer,class,0.209694602272727,72122,0.242866161616162,88628,-0.033171559343435,0.813760888206887,19,30,5,0,55,80,15,8,0,6,0,2,10,299
org.sourceforge.ifx.framework.complextype.ForExDealRec_Type,class,1,8753,0.9375,4156,0.0625,2.10611164581328,4,8,1,1,1,10,8,8,0,4,1,0,0,98
org.sourceforge.ifx.framework.element.ChkAcceptAudRq,class,1,3918,0.916666666666667,2122,0.083333333333333,1.84637134778511,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.StdPayeeInqRs_Type,class,1,17446,0.95045045045045,70746,0.04954954954955,0.246600514516722,15,30,1,1,1,351,30,30,0,15,1,0,0,296
org.sourceforge.ifx.framework.complextype.ExtAcctBal_Type,class,1,11500,0.986111111111111,15574,0.013888888888889,0.738410170797483,6,12,1,1,1,36,12,12,0,6,1,0,0,134
org.sourceforge.ifx.framework.complextype.CCAcctTrnMsgRqInfo_Type,class,1,7220,0.916666666666667,5901,0.083333333333333,1.22352143704457,2,4,1,1,1,0,4,4,0,2,1,0,0,62
org.sourceforge.ifx.framework.complextype.PartyAcctRelDelRq_Type,class,1,7080,0.933333333333333,7470,0.066666666666667,0.947791164658634,7,14,1,1,1,55,14,14,0,7,1,0,0,152
org.sourceforge.ifx.framework.element.DevInqRs,class,1,10982,0.916666666666667,2680,0.083333333333333,4.09776119402985,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.heal.servlet.cataloger.ModifyCatalogQueueEntryAction,class,0.491706349206349,90548,0.223809523809524,69958,0.267896825396825,1.29431944881214,9,16,1,0,28,3,3,2,1,0,0,0,2,116
de.paragon.explorer.excp.FigureEventException,class,1,8667,1,4721,0,1.8358398644355,1,2,4,0,0,1,2,2,0,1,0,1,0,30
org.sourceforge.ifx.framework.element.ChkAcceptCanRq,class,1,3664,0.916666666666667,2050,0.083333333333333,1.78731707317073,1,2,2,0,1,1,2,2,0,0,0,0,0,40
net.virtualinfinity.atrobots.atsetup.AtRobotPort,enum,0.831439393939394,72466,0.797835497835498,69925,0.033603896103896,1.03633893457276,0,8,1,0,5,0,6,3,1,3,2,1,6,76
ghm.follow.font.NoFontStyleSelectedException,class,1,9706,1,5544,0,1.7507215007215,1,1,4,0,0,0,1,1,0,0,0,0,0,9
org.sourceforge.ifx.framework.complextype.BillerMsgRqInfo_Type,class,1,11592,0.916666666666667,7861,0.083333333333333,1.47462154942119,2,4,1,1,1,0,4,4,0,2,1,0,0,62
org.saxpath.Axis,class,0.946614583333333,87028,0.938988095238095,69449,0.007626488095238,1.25312099526271,0,28,1,0,1,0,2,2,2,14,14,14,0,183
br.com.jnfe.base.ContribICMS,enum,0.828125,63349,0.75,67611,0.078125,0.936962920234873,0,2,1,0,0,0,2,1,0,1,0,0,0,27
com.sap.engine.services.dc.wsgate.ArchiveFile,class,0.905516661451815,97940,0.873781959592348,91783,0.031734701859467,1.06708213939401,8,22,1,0,16,19,11,11,3,5,0,1,3,154
net.sourceforge.squirrel_sql.client.gui.session.SessionPanel,class,0.133794420357389,71470,0.212346934640788,76182,-0.078552514283399,0.938148118978236,42,88,10,0,107,908,45,34,0,16,0,4,6,588
org.sourceforge.ifx.framework.complextype.TerminalSPRec_Type,class,1,4697,0.979166666666667,3655,0.020833333333333,1.28508891928865,4,8,1,0,1,10,8,8,0,4,1,0,0,98
ioproject.example.server.ChatExampleServer,class,0.76565734989648,93958,0.633540372670807,78824,0.132116977225673,1.19199736120978,7,13,1,0,15,20,8,8,1,2,0,0,1,131
com.browsersoft.openhre.hl7.impl.regular.ExpressionNodeWithLevel,class,0.972222222222222,63604,0.952380952380952,4546,0.01984126984127,13.9912010558733,0,6,1,0,0,0,6,6,0,2,0,0,0,46
org.sourceforge.ifx.framework.complextype.MediaAcctAdjRevRq_Type,class,1,16053,0.944444444444444,72804,0.055555555555556,0.220496126586451,9,18,1,1,1,105,18,18,0,9,1,0,0,188
org.sourceforge.ifx.framework.element.CVMRule,class,0.9375,62366,0.916666666666667,1644,0.020833333333333,37.9355231143552,1,2,5,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.CompRemitStmtMsgRec_Type,class,1,21436,0.979166666666667,22094,0.020833333333333,0.970218158776138,4,8,1,1,1,10,8,8,0,4,1,0,0,98
net.sourceforge.schemaspy.util.DOMUtil,class,0.79933574879227,63521,0.545410628019324,71871,0.253925120772946,0.883819621265879,2,5,1,0,10,1,2,2,2,0,0,0,1,59
org.sourceforge.ifx.framework.element.ATMOwner,class,1,3511,0.916666666666667,1693,0.083333333333333,2.07383343177791,1,2,4,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.CustAuthRevRs,class,1,3736,0.916666666666667,2200,0.083333333333333,1.69818181818182,1,2,2,0,1,1,2,2,0,0,0,0,0,40
greencow.Main,class,1,8574,1,4010,0,2.13815461346633,0,1,1,0,1,0,1,1,1,0,0,0,0,12
com.imsmart.parser.MParserFactory,class,0.72718253968254,65105,0.72718253968254,66750,0,0.975355805243446,3,2,1,0,5,0,1,1,1,1,0,0,3,24
org.sourceforge.ifx.framework.complextype.RecXferProf_Type,class,1,5943,0.958333333333333,3506,0.041666666666667,1.69509412435824,3,6,1,1,1,3,6,6,0,3,1,0,0,80
org.sourceforge.ifx.framework.complextype.IndustId_Type,class,1,11354,0.944444444444444,7093,0.055555555555556,1.60073311715776,3,6,1,2,1,3,6,6,0,3,1,0,0,80
src.XMLable,class,1,7883,1,4184,0,1.88408221797323,0,0,1,0,0,0,0,0,0,0,0,0,0,3
org.sourceforge.ifx.framework.element.BalType,class,0.9375,62489,0.916666666666667,1582,0.020833333333333,39.5,1,2,5,0,1,1,2,2,0,0,0,0,0,40
mygrid.web._Logon,class,0.922459610303287,71609,0.861029779333,86538,0.061429830970287,0.827486191037463,7,21,1,0,10,34,12,12,3,6,0,1,0,127
org.sourceforge.ifx.framework.complextype.StopChkRevRs_Type,class,1,25274,0.935897435897436,68932,0.064102564102564,0.366651192479545,13,26,1,1,1,253,26,26,0,13,1,0,0,260
net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.SchemaTableModel,class,0.955491223402248,101106,0.851322748327458,92103,0.10416847507479,1.09774925898179,2,25,3,0,18,0,9,9,0,6,0,5,4,127
net.sf.xisemele.exception.WithinContextNotPermittedException,class,0.9375,65100,0.9,64504,0.0375,1.00923973707057,1,1,5,0,0,0,1,1,0,1,0,1,0,21
org.sourceforge.ifx.framework.element.CustAddRs,class,1,4009,0.916666666666667,3075,0.083333333333333,1.30373983739837,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.element.DevDetailApp,class,1,3327,0.916666666666667,1981,0.083333333333333,1.67945482079758,1,2,2,0,1,1,2,2,0,0,0,0,0,40
org.sourceforge.ifx.framework.complextype.PassbkItemStatusInqRq_Type,class,1,7340,0.935897435897436,9719,0.064102564102564,0.755221730630723,6,12,1,1,1,36,12,12,0,6,1,0,0,134
org.sourceforge.ifx.framework.complextype.DebitAuthSyncRs_Type,class,1,30751,0.938271604938272,83250,0.061728395061728,0.369381381381381,13,26,1,1,1,253,26,26,0,13,1,0,0,260
net.sf.sugar.fspath.FSPathResult,class,0.972972972972973,80396,0.94015444015444,72391,0.032818532818533,1.11058004448067,0,19,1,0,5,42,13,13,0,6,0,0,0,119
net.sf.xbus.technical.file.FileByteArrayListReceiverThread,class,0.9375,67930,0.583333333333333,4335,0.354166666666667,15.6701268742791,4,2,3,0,0,1,2,1,0,0,0,0,0,29
org.sourceforge.ifx.framework.complextype.StdPayeeMsgRqInfo_Type,class,1,4139,0.958333333333333,3028,0.041666666666667,1.36690885072655,2,4,1,1,1,0,4,4,0,2,1,0,0,62
org.jcvi.jillion.internal.assembly.util.CompactedSliceElement,class,0.950203323903819,75816,0.88705209806695,72178,0.063151225836869,1.05040316994098,4,25,1,0,16,0,11,8,0,4,0,1,2,155
mygrid.web.ArrayOfString,class,0.899929542440318,75464,0.892985097995874,84964,0.006944444444444,0.888187938420978,7,20,1,0,12,11,10,10,3,4,0,1,3,103
wheel.components.ActionExpression,class,0.866584518680653,113876,0.740061302152884,131884,0.126523216527769,0.86345576415638,4,61,2,0,31,213,26,25,0,8,0,0,0,190
org.jcvi.jillion.assembly.ca.frg.Distance,class,0.988742236024845,77290,0.966725820763088,96993,0.022016415261757,0.796861629189735,1,23,1,0,11,0,15,11,7,6,0,3,13,189
com.mytdev.resources4j.ResourcesInjector,class,0.484014594914038,87556,0.483197601449986,93623,0.000816993464052,0.935197547611164,8,98,1,0,101,11,11,7,0,2,0,0,6,374
osa.ora.server.client.ui.InfoPanel,class,0.496372927387078,88110,0.394196683819325,78220,0.102176243567753,1.12643825108668,1,5,5,0,18,8,4,2,0,10,0,0,0,96
com.browsersoft.openhre.hl7.impl.config.HL7SegmentsConfigReaderImpl,class,0,88437,0.30049064012674,79560,-0.30049064012674,1.11157616892911,13,46,1,0,32,30,9,1,0,26,26,26,12,226
