TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
org.exolab.jms.tools.migration.proxy.UserStore,0.510407585004359,115281,0.539886660854403,104936,-0.029479075850044,10345,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.proxy,UserStore,0,0,0,2.125,0,0,0,0,0,0,0,0,0,0,0,0,2.125,0,0,0,0,2,0,19,24,15,13,12.625,4.5,10.625,2.75,2.125,2.375,3.375,0,1.5,1.875,4.25,0,0,0.625,0,3.375,0,2,0,111,RANDOM
net.sourceforge.squirrel_sql.client.gui.session.MainPanel,0.136201298701299,77244,0.363203463203463,82082,-0.227002164502164,-4838,/home/gramos/USP/MSI/102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.session,MainPanel,0,0,0,2.933333,0,7.833333,0,0,0,9.433333,0,0,0,0,0,0.833333,10.733333,0,0,0,0,1,0,60,65,36,36,40.733333,21.333333,58.733332,22.5,21,0.333333,14.9,2.466667,2.433333,10,20.3,0,11.266667,3.166667,0,25.333333,0,1,8,408,RANDOM
jipa.Variable,0.867732558139535,117747,0.991279069767442,24561,-0.123546511627907,93186,/home/gramos/USP/MSI/26_jipa,jipa,Variable,0,0,0,3.666667,0,0,0,0,0,0,0,0,0,0,0,0,7.333333,0,1.333333,0,0,1,0,25,25,15,15,15.833333,8.666667,29.833334,12,7.833333,0,10,0,4.166667,5.833334,17.333333,0,0,8.166667,0,10.5,0,1,5,101,RANDOM
org.jcvi.jillion.assembly.util.consensus.DefaultConsensusResult,0.979332449160035,73555,0.928034609069092,73979,0.051297840090943,-424,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.assembly.util.consensus,DefaultConsensusResult,0,0,0,1.125,1,2.75,1.375,0,0,2.75,0,0,0,0,0,0,1.125,0,0,0,0,0,0,18,18,10,10,8.25,5.25,13.75,4.625,8,0,1.125,0,0,0.375,3,0,2.75,0,0,7.25,0,0,1,68,GA
visu.handball.moves.actions.NewSequenceAction,0.942307692307692,104005,0.833333333333333,96292,0.108974358974359,7713,/home/gramos/USP/MSI/56_jhandballmoves,visu.handball.moves.actions,NewSequenceAction,0,0,0,1.5,0,0,0,0,1,0,0,0,0,0,0,0,3.333333,0,0,0,0,0,0,10,12,8,8,6.333334,4.333333,15.666668,4,6.333334,0,5.333334,0,5.333334,0,4.666667,0,1.833333,0,0,9.166667,0,0,0,59,GA
org.jcvi.jillion.assembly.tigr.tasm.AbstractTasmContigBuilderVisitor,0,71653,0,66219,0,5434,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.assembly.tigr.tasm,AbstractTasmContigBuilderVisitor,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,3.666667,2,4,2,2,0,0,0,0,0,0,0,2,1,0,2,0,0,2,26,RANDOM
net.sf.jniinchi.JniInchiStructure,0.974841772151899,89892,0.86629746835443,16151,0.108544303797469,73741,/home/gramos/USP/MSI/25_jni-inchi,net.sf.jniinchi,JniInchiStructure,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,8,4,4,8,3,10,4,6,0,0,0,0,0,7,0,0,0,0,0,0,0,2,42,GA
com.lts.caloriecount.data.CalorieCountData,0.624598961465844,77327,0.477441434460048,95241,0.147157527005796,-17914,com.lts.caloriecount.data.CalorieCountData,0.624598961465844,77327,0.477441434460048,95241,0.147157527005796,0.811908736783528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
com.isnetworks.ssh.FileDisplay,0.152746135977843,83189,0.055492271955687,85220,0.097253864022156,-2031,com.isnetworks.ssh.FileDisplay,0.152746135977843,83189,0.055492271955687,85220,0.097253864022156,0.976167566298991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA
jigl.gui.SequenceCanvas,0.147488065469425,69389,0.23598090475108,82694,-0.088492839281655,-13305,/home/gramos/USP/MSI/89_jiggler,jigl.gui,SequenceCanvas,0,0,2.444444,2,0,0.666667,0,1.5,1.666667,7.611111,0,0,0.5,0,0,0,8,0,0,0,0,2,0,61,73,32,32,41,19.611111,50.88889,18.111111,20.777778,0.333333,11.666667,0,1.5,10.166667,19,4.888889,0.666667,6,0,20,0,1,5,604,RANDOM
de.paragon.explorer.util.ExplorerColorManager,0.856576762422547,80000,0.847744360902256,96902,0.008832401520291,-16902,/home/gramos/USP/MSI/63_objectexplorer,de.paragon.explorer.util,ExplorerColorManager,0,0,0,2,0,9,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,33,31,22,22,26.5,11,26,11,11,0,4,0,4,0,4,0,9,0,0,13,0,0,4,112,GA
org.heal.servlet.DelimitedFileWriterAction,0.394472270615563,81145,0.343399148277197,77516,0.051073122338366,3629,/home/gramos/USP/MSI/96_heal,org.heal.servlet,DelimitedFileWriterAction,0,0,0,2.75,0,0,0,0,0,1,0,0,0,0,0,0,5.583333,0,0,0,0,1,0,31,39,17,17,17.166667,7,25.083332,8.416666,6.5,0.416667,9.75,2.25,0,7.5,8,0,3.416667,1.166667,0,13.083334,0,1,4,179,GA
org.exolab.jms.tools.migration.proxy.MessageHandlerFactory,0.91520732689211,135235,0.719519208649643,113947,0.195688118242467,21288,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.proxy,MessageHandlerFactory,0,0,0,3.857143,0,0,0,0,0,0,0,0,0,0,0,0,3.857143,0,0,0,0,0,0,13,18,7,7,5.714286,3.857143,19.285713,7.714286,3.857143,0,7.714286,0,0,7.714286,7.714286,0,0,3.857143,0,7.714286,0,1,0,75,GA
com.sap.engine.services.dc.wsgate.DeployFault,0.9085347186728,140325,0.811709746510411,125439,0.096824972162389,14886,/home/gramos/USP/MSI/101_netweaver,com.sap.engine.services.dc.wsgate,DeployFault,0,0,0,2.285714,1,1.714286,1,0,0,4.357143,0,0,0,0,0,0,3.428572,0,0,0,0,0,0,29,38,18,18,12.071428,8.785714,21.071428,8.785714,8.571429,0,3.714286,1.5,0.928571,0.285714,4.571428,0,5.5,1.928572,0,10,0,1,0,103,GA
org.exolab.jms.tools.migration.proxy.AbstractMessageHandler,0.436916080905365,144695,0.221959213217804,119537,0.214956867687561,25158,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.proxy,AbstractMessageHandler,0,0,0,2.007937,0,1.5,0,0,0,1.5,0,0,0,0,0,0,3.579365,0,0,0,0,2,0,55,100,68,60,25.777778,9.630953,26.313492,8.087301,5.079365,4.551588,8.595238,0,0,8.595238,5.349206,0,2.404762,3.007937,0,11.000001,0,1,7,541,GA
org.heal.servlet.cataloger.ControlledVocabularyRecordModifier,0.878352130325815,94326,0.882738095238095,25739,-0.00438596491228,68587,/home/gramos/USP/MSI/96_heal,org.heal.servlet.cataloger,ControlledVocabularyRecordModifier,0,0,0,3.666667,0,0,0,0,0,0,0,0,0,0,0,0,4.666666,0,2.066667,0,0,4,1,34,47,15,15,11.933333,6.733333,34.533333,11,4.333334,0,19.2,0,6.4,12.8,8.933333,0,5.466667,1.066667,0,19.066668,0,1,1,196,RANDOM
de.huxhorn.lilith.swing.preferences.ColorSchemeEditorPanel,0.873214285714286,146463,0.837244897959184,109911,0.035969387755102,36552,/home/gramos/USP/MSI/43_lilith,de.huxhorn.lilith.swing.preferences,ColorSchemeEditorPanel,0,0,0,0.5,0,2,0,0.25,0,2.5,0,0,0,0,0,0,1.5,0,0,0,0,1,0,14,15,8,8,9.25,4.25,11.75,4.5,5,0,2.25,0,0,2.25,2.75,0,3,0,1.75,6,0,0,2,76,GA
